DBMS,Rank_Apr-2024,Rank_Mar-2024,Rank_Apr-2023,Database Model,Score_Apr-2024,Score_Mar-2024,Score_Apr-2023,DBMS_insitelink,Multi_model_info,Developer,Description,Initial release,Current release,License,License_info,Cloud-based only
Apache Druid,95.0,99.0,117.0,Multi-model,3.29,-0.05,+0.53,https://db-engines.com/en/system/Apache+Druid,"Relational DBMS,Time Series DBMS",Apache Software Foundation and contributors,Open-source analytics data store designed for sub-second OLAP queries on high dimensionality and high cardinality data,2012.0,"29.0.1, April 2024",Open Source,Apache license v2,no
SAP IQ,96.0,93.0,90.0,Relational,3.27,-0.31,-0.86,https://db-engines.com/en/system/SAP+IQ,,"SAP, formerly Sybase",Columnar RDBMS optimized for Big Data analytics,1994.0,"16.1 SPS04, April 2019",commercial,,no
OrientDB,97.0,96.0,92.0,Multi-model,3.27,-0.11,-0.79,https://db-engines.com/en/system/OrientDB,"Document store,Graph DBMS,Key-value store",OrientDB LTD; CallidusCloud; SAP,"Multi-model DBMS (Document, Graph, Key/Value)",2010.0,"3.2.29, March 2024",Open Source,Apache version 2,no
GemFire,98.0,104.0,95.0,"Key-value, Multi-model",3.12,-0.03,-0.84,https://db-engines.com/en/system/GemFire,"Key-value store,Document store",VMware,"An enterprise grade, high speed in-memory data and compute grid for high-performance, low latency applications where data must be consistent across multiple data centers",2004.0,"9.15, June 2022",commercial,,no
YugabyteDB,99.0,103.0,98.0,"Relational, Multi-model",3.11,-0.10,-0.43,https://db-engines.com/en/system/YugabyteDB,"Relational DBMS,Document store,Wide column store",Yugabyte Inc.,"High-performance distributed SQL database for global, internet-scale applications. Wire and feature compatible with,PostgreSQL,.",2017.0,"2.19, September 2023",Open Source,Apache 2.0,no
GraphDB,100.0,106.0,129.0,Multi-model,3.1,+0.19,+0.76,https://db-engines.com/en/system/GraphDB,"Graph DBMS,RDF store",Ontotext,"Enterprise-ready RDF and graph database with efficient reasoning, cluster and external index synchronization support. It supports also SQL JDBC access to Knowledge Graph and GraphQL over SPARQL.",2000.0,"10.4, October 2023",commercial,Some plugins of GraphDB Workbench are open sourced,no
RavenDB,101.0,95.0,94.0,"Document, Multi-model",3.01,-0.46,-0.96,https://db-engines.com/en/system/RavenDB,"Document store,Graph DBMS,Spatial DBMS,Time Series DBMS",Hibernating Rhinos,Open Source Operational and Transactional Enterprise NoSQL Document Database,2010.0,"5.4, July 2022",Open Source,"AGPL version 3, commercial license available",no
Memgraph,102.0,105.0,143.0,Graph,3.0,-0.09,+0.88,https://db-engines.com/en/system/Memgraph,,Memgraph Ltd,An open source graph database built for real-time streaming and compatible with Neo4j,2017.0,,commercial,Free license available,no
Oracle NoSQL,103.0,101.0,96.0,Multi-model,2.96,-0.30,-0.83,https://db-engines.com/en/system/Oracle+NoSQL,"Document store,Key-value store,Relational DBMS",Oracle,"A multi-model, scalable, distributed NoSQL database, designed to provide highly reliable, flexible, and available data management across a configurable set of storage nodes",2011.0,"23.3, December 2023",Open Source,"Proprietary for Enterprise Edition (Oracle Database EE license has Oracle NoSQL database EE covered:,details,)",no
Infinispan,104.0,102.0,99.0,Key-value,2.92,-0.29,-0.54,https://db-engines.com/en/system/Infinispan,,,,2009.0,"14.0.7.Final, March 2023",Open Source,Apache Version 2,no
Google Cloud Spanner,105.0,97.0,93.0,Relational,2.89,-0.47,-1.11,https://db-engines.com/en/system/Google+Cloud+Spanner,,Google,"A horizontally scalable, globally consistent, relational database service. It is the externalization of the core Google database that runs the biggest aspects of Google, like Ads and Google Play.",2017.0,,commercial,,yes
RethinkDB,106.0,110.0,97.0,"Document, Multi-model",2.84,+0.03,-0.92,https://db-engines.com/en/system/RethinkDB,"Document store,Spatial DBMS",The Linux Foundation,DBMS for the Web with a mechanism to push updated query results to applications in realtime.,2009.0,"2.4.1, August 2020",Open Source,Apache Version 2,no
LevelDB,107.0,100.0,101.0,Key-value,2.75,-0.57,-0.62,https://db-engines.com/en/system/LevelDB,,Google,"Embeddable fast,key-value storage,library that provides an ordered mapping from string keys to string values",2011.0,"1.23, February 2021",Open Source,BSD,no
IBM Cloudant,108.0,113.0,91.0,Document,2.73,-0.06,-1.36,https://db-engines.com/en/system/IBM+Cloudant,,"IBM, Apache Software Foundation","Database as a Service offering based on,Apache CouchDB",2010.0,,commercial,,yes
TDengine,109.0,116.0,124.0,"Time Series, Multi-model",2.68,+0.04,+0.07,https://db-engines.com/en/system/TDengine,"Time Series DBMS,Relational DBMS","TDEngine, previously Taos Data",Time Series DBMS and big data platform,2019.0,"3.0, August 2022",Open Source,"GPL V3, also commercial editions available",no
4D,110.0,111.0,118.0,Relational,2.68,-0.12,-0.07,https://db-engines.com/en/system/4D,,"4D, Inc",Application development environment with integrated database management system,1984.0,"v20, April 2023",commercial,,no
MaxDB,111.0,107.0,100.0,Relational,2.65,-0.22,-0.76,https://db-engines.com/en/system/MaxDB,,"SAP, acquired from Software AG (Adabas-D) in 1997","A robust and reliable,RDBMS,optimized to run all major SAP solutions",1984.0,"7.9.10.12, February 2024",commercial,Limited community edition free,no
Amazon Neptune,112.0,109.0,121.0,Multi-model,2.58,-0.24,-0.11,https://db-engines.com/en/system/Amazon+Neptune,"Graph DBMS,RDF store",Amazon,"Fast, reliable graph database built for the cloud",2017.0,,commercial,,yes
CloudKit,113.0,108.0,116.0,Document,2.58,-0.29,-0.21,https://db-engines.com/en/system/CloudKit,,,,2016.0,,commercial,,yes
Oracle Berkeley DB,114.0,112.0,102.0,Multi-model,2.52,-0.28,-0.77,https://db-engines.com/en/system/Oracle+Berkeley+DB,"Key-value store,Native XML DBMS",Oracle,Widely used in-process key-value store,1994.0,"18.1.40, May 2020",Open Source,commercial license available,no
QuestDB,115.0,115.0,137.0,"Time Series, Multi-model",2.48,-0.21,+0.24,https://db-engines.com/en/system/QuestDB,"Time Series DBMS,Relational DBMS",QuestDB Technology Inc,"A high performance open source SQL database for,time series data",2014.0,,Open Source,Apache 2.0,no
PouchDB,116.0,114.0,103.0,Document,2.35,-0.35,-0.92,https://db-engines.com/en/system/PouchDB,,Apache Software Foundation,"JavaScript DBMS with an API inspired by,CouchDB",2012.0,"7.1.1, June 2019",Open Source,,no
Coveo,117.0,122.0,132.0,Search engine,2.34,-0.11,+0.07,https://db-engines.com/en/system/Coveo,,Coveo,"AI-powered hosted search, recommendation and personalization platform providing tools for both low-code and full-code development",2012.0,,commercial,,yes
LMDB,118.0,117.0,113.0,Key-value,2.33,-0.29,-0.65,https://db-engines.com/en/system/LMDB,,Symas,"A high performant, light-weight, embedded key-value database library",2011.0,"0.9.32, January 2024",Open Source,,no
Apache Drill,119.0,118.0,111.0,Multi-model,2.28,-0.30,-0.80,https://db-engines.com/en/system/Apache+Drill,"Document store,Relational DBMS",Apache Software Foundation,"Schema-free SQL Query Engine for Hadoop, NoSQL and Cloud Storage",2012.0,"1.20.3, January 2023",Open Source,Apache Version 2,no
EXASOL,120.0,119.0,119.0,Relational,2.25,-0.22,-0.50,https://db-engines.com/en/system/EXASOL,,Exasol,"High-performance, in-memory, MPP database specifically designed for in-memory analytics.",2000.0,,commercial,,no
Percona Server for MySQL,121.0,125.0,109.0,Relational,2.21,-0.14,-0.91,https://db-engines.com/en/system/Percona+Server+for+MySQL,,Percona,"Enhanced drop-in replacement for,MySQL,based on XtraDB or TokuDB storage engines with improved performance and additional diagnostic and management features.",2008.0,"8.0.36-28, 2024",Open Source,GPL version 2,no
EDB Postgres,122.0,121.0,107.0,"Relational, Multi-model",2.18,-0.28,-0.97,https://db-engines.com/en/system/EDB+Postgres,"Relational DBMS,Document store,Spatial DBMS",EnterpriseDB,"The EDB Postgres Platform is an enterprise-class data management platform based on the open source database,PostgreSQL,with flexible deployment options and,Oracle,compatibility features, complemented by tool kits for management, integration, and migration.",2005.0,"14, December 2021",commercial,BSD for PostgreSQL-components,no
Citus,123.0,129.0,122.0,"Relational, Multi-model",2.15,-0.06,-0.52,https://db-engines.com/en/system/Citus,"Relational DBMS,Document store",,Scalable hybrid operational and analytics RDBMS for big data use cases based on PostgreSQL,2010.0,"8.1, December 2018",Open Source,"AGPL, commercial license also available",no
RRDtool,124.0,120.0,106.0,Time Series,2.14,-0.33,-1.06,https://db-engines.com/en/system/RRDtool,,Tobias Oetiker,Industry standard data logging and graphing tool for time series data. RRD is an acronym for round-robin database.,1999.0,"1.8.0, 2022",Open Source,GPL V2 and FLOSS,no
NebulaGraph,125.0,124.0,141.0,Graph,2.12,-0.24,-0.05,https://db-engines.com/en/system/NebulaGraph,,Vesoft Inc.,"A distributed, linear scalable, high perfomant,Graph DBMS",2019.0,,Open Source,Apache Version 2.0 + Common Clause 1.0,no
HEAVY.AI,126.0,127.0,108.0,"Relational, Multi-model",2.1,-0.20,-1.05,https://db-engines.com/en/system/HEAVY.AI,"Relational DBMS,Spatial DBMS","HEAVY.AI, Inc.","A high performance, column-oriented,RDBMS,, specifically developed to harness the massive parallelism of modern CPU and GPU hardware",2016.0,"5.10, January 2022",Open Source,Apache Version 2; enterprise edition available,no
Chroma,127.0,128.0,,Vector,2.09,-0.18,,https://db-engines.com/en/system/Chroma,,Chroma,Chroma is an open-source vector DBMS.,,,Open Source,Apache-2.0 license,no
Firebolt,128.0,130.0,161.0,Relational,2.09,-0.07,+0.37,https://db-engines.com/en/system/Firebolt,,Firebolt Analytics Inc.,Highly scalable cloud data warehouse and analytics product,2020.0,,commercial,,yes
Stardog,129.0,136.0,160.0,Multi-model,2.05,+0.02,+0.34,https://db-engines.com/en/system/Stardog,"Graph DBMS,RDF store",Stardog-Union,"Enterprise Knowledge Graph platform and graph DBMS with high availability, high performance reasoning, and virtualization",2010.0,"7.3.0, May 2020",commercial,60-day fully-featured trial license; 1-year fully-featured non-commercial use license for academics/students,no
Apache Phoenix,130.0,131.0,110.0,Relational,2.02,-0.07,-1.07,https://db-engines.com/en/system/Apache+Phoenix,,Apache Software Foundation,"A scale-out RDBMS with evolutionary schema built on,Apache HBase",2014.0,"5.0-HBase2, July 2018 and 4.15-HBase1, December 2019",Open Source,Apache Version 2.0,no
Oracle Coherence,131.0,126.0,127.0,Key-value,2.02,-0.31,-0.49,https://db-engines.com/en/system/Oracle+Coherence,,Oracle,Oracles in-memory data grid solution,2007.0,"14.1, August 2023",commercial,,no
GridDB,132.0,137.0,147.0,"Time Series, Multi-model",2.02,+0.02,-0.01,https://db-engines.com/en/system/GridDB,"Time Series DBMS,Key-value store,Relational DBMS",Toshiba Corporation,Scalable in-memory time series database optimized for IoT and Big Data,2013.0,"5.1, August 2022",Open Source,"AGPL version 3 and Apache License, version 2.0 , commercial license (standard and advanced editions) also available",no
Geode,133.0,123.0,120.0,Key-value,1.99,-0.39,-0.74,https://db-engines.com/en/system/Geode,,Originally developed by Gemstone. They outsourced the project to Apache in 2015 but still deliver a commercial version as Gemfire.,"Geode is a distributed data container, pooling memory, CPU, network resources, and optionally local disk across multiple processes",2002.0,"1.1, February 2017",Open Source,Apache Version 2; commercial licenses available as Gemfire,no
Empress,134.0,134.0,152.0,Relational,1.98,-0.09,+0.06,https://db-engines.com/en/system/Empress,,,,1981.0,"v10.20-E, January 2010",commercial,,no
JanusGraph,135.0,135.0,128.0,Graph,1.91,-0.13,-0.53,https://db-engines.com/en/system/JanusGraph,,"Linux Foundation; originally developed as,Titan,by Aurelius",A Graph DBMS optimized for distributed clusters,2017.0,"0.6.3, February 2023",Open Source,Apache 2.0,no
BaseX,136.0,141.0,150.0,Native XML,1.9,-0.06,-0.06,https://db-engines.com/en/system/BaseX,,BaseX GmbH,"Light-weight,Native XML DBMS,with support for XQuery 3.0 and interactive GUI.",2007.0,"10.7, August 2023",Open Source,BSD license,no
Amazon DocumentDB,137.0,148.0,154.0,Document,1.89,+0.09,+0.06,https://db-engines.com/en/system/Amazon+DocumentDB,,,"Fast, scalable, highly available, and fully managed,MongoDB,-compatible database service",2019.0,,commercial,,yes
Weaviate,138.0,138.0,274.0,Vector,1.89,-0.11,+1.36,https://db-engines.com/en/system/Weaviate,,Weaviate B.V.,An AI-native realtime vector database engine that integrates scalable machine learning models.,2019.0,"1.19, May 2023",Open Source,commercial license available with Weaviate Enterprise,no
Amazon SimpleDB,139.0,145.0,125.0,Key-value,1.88,-0.02,-0.69,https://db-engines.com/en/system/Amazon+SimpleDB,,Amazon,"Hosted simple database service by Amazon, with the data stored in the Amazon Cloud.",2007.0,,commercial,,yes
Amazon CloudSearch,140.0,133.0,130.0,Search engine,1.87,-0.21,-0.46,https://db-engines.com/en/system/Amazon+CloudSearch,,Amazon,A hosted search engine service by Amazon with the data stored in Amazons cloud,2012.0,,commercial,,yes
TigerGraph,141.0,143.0,146.0,Graph,1.83,-0.09,-0.19,https://db-engines.com/en/system/TigerGraph,,,"A complete, distributed, parallel graph computing platform supporting web-scale data analytics in real-time",2017.0,,commercial,,no
IMS,142.0,142.0,112.0,Navigational,1.81,-0.12,-1.21,https://db-engines.com/en/system/IMS,,IBM,,1966.0,"15, October 2017",commercial,,no
Tibero,143.0,139.0,139.0,Relational,1.81,-0.17,-0.37,https://db-engines.com/en/system/Tibero,,TmaxSoft,"A secure RDBMS, designed for easy portability from Oracle",2003.0,"6, April 2015",commercial,,no
Milvus,144.0,150.0,240.0,Vector,1.81,+0.11,+1.06,https://db-engines.com/en/system/Milvus,,,A DBMS designed for efficient storage of vector data and vector similarity searches,2019.0,"2.3.4, January 2024",Open Source,Apache Version 2.0,no
Datomic,145.0,132.0,145.0,Relational,1.76,-0.32,-0.27,https://db-engines.com/en/system/Datomic,,Cognitect,"Datomic builds on immutable values, supports point-in-time queries and uses 3rd party systems for durability",2012.0,"1.0.6735, June 2023",commercial,limited edition free,no
PlanetScale,146.0,144.0,208.0,"Relational, Multi-model",1.75,-0.17,+0.65,https://db-engines.com/en/system/PlanetScale,"Relational DBMS,Document store,Spatial DBMS",PlanetScale,"Scalable, distributed, serverless,MySQL,database platform built on top of,Vitess",2020.0,,commercial,,yes
OpenTSDB,147.0,147.0,140.0,Time Series,1.73,-0.10,-0.44,https://db-engines.com/en/system/OpenTSDB,,currently maintained by Yahoo and other contributors,"Scalable Time Series DBMS based on,HBase",2011.0,,Open Source,LGPL,no
MonetDB,148.0,149.0,136.0,"Relational, Multi-model",1.72,-0.06,-0.54,https://db-engines.com/en/system/MonetDB,"Relational DBMS,Document store,Spatial DBMS",MonetDB BV,A relational database management system that stores data in columns,2004.0,"Dec2023 (11.49), December 2023",Open Source,Mozilla Public License 2.0,no
SpatiaLite,149.0,140.0,138.0,"Spatial, Multi-model",1.72,-0.26,-0.46,https://db-engines.com/en/system/SpatiaLite,"Spatial DBMS,Relational DBMS",Alessandro Furieri,"Spatial extension of,SQLite",2008.0,"5.0.0, August 2020",Open Source,"MPL 1.1, GPL v2.0 or LGPL v2.1",no
Tarantool,150.0,146.0,156.0,Multi-model,1.67,-0.21,-0.13,https://db-engines.com/en/system/Tarantool,"Document store,Key-value store,Relational DBMS,Spatial DBMS",VK,In-memory computing platform with a flexible data schema for efficiently building high-performance applications,2008.0,"2.10.0, May 2022",Open Source,"BSD-2, source-available extensions (modules), commercial licenses for Tarantool Enterprise",no
mSQL,151.0,170.0,176.0,Relational,1.67,+0.26,+0.20,https://db-engines.com/en/system/mSQL,,Hughes Technologies,"mSQL (Mini SQL) is a simple and lightweight,RDBMS",1994.0,"4.4, October 2021",commercial,free licenses can be provided,no
Actian NoSQL Database,152.0,154.0,153.0,Object oriented,1.58,-0.07,-0.29,https://db-engines.com/en/system/Actian+NoSQL+Database,,Actian,,1988.0,"9.3, April 2017",commercial,,no
OceanBase,153.0,160.0,131.0,"Relational, Multi-model",1.56,-0.03,-0.77,https://db-engines.com/en/system/OceanBase,"Relational DBMS,Document store,Wide column store",OceanBase,"A distributed, high available,RDBMS,compatible with,Oracle,and,MySQL",2010.0,"4.3.0, April 2024",Open Source,Commercial license available,no
Fauna,154.0,155.0,158.0,Multi-model,1.55,-0.08,-0.20,https://db-engines.com/en/system/Fauna,"Document store,Graph DBMS,Relational DBMS,Time Series DBMS","Fauna, Inc.","Fauna provides a web-native interface, with support for GraphQL and custom business logic that integrates seamlessly with the rest of the serverless ecosystem. The underlying globally distributed storage and compute platform is fast, consistent, and reliable, with a modern security infrastructure.",2014.0,,commercial,,yes
GridGain,155.0,158.0,134.0,Multi-model,1.53,-0.06,-0.73,https://db-engines.com/en/system/GridGain,"Key-value store,Relational DBMS","GridGain Systems, Inc.","GridGain is an in-memory computing platform, built on,Apache Ignite",2007.0,GridGain 8.5.1,commercial,,no
Db4o,156.0,163.0,144.0,Object oriented,1.52,-0.06,-0.53,https://db-engines.com/en/system/Db4o,,,,2001.0,8.0,Open Source,commercial license available for existing customers only,no
Sedna,157.0,161.0,190.0,Native XML,1.51,-0.08,+0.22,https://db-engines.com/en/system/Sedna,,,,2006.0,,Open Source,Apache Version 2,no
Dgraph,158.0,164.0,164.0,Graph,1.48,-0.05,-0.17,https://db-engines.com/en/system/Dgraph,,"Dgraph Labs, Inc.","Distributed and scalable native,Graph DBMS",2016.0,,Open Source,Apache 2.0,no
VoltDB,159.0,165.0,142.0,Relational,1.46,-0.05,-0.68,https://db-engines.com/en/system/VoltDB,,VoltDB Inc.,"Distributed In-Memory NewSQL,RDBMS",2010.0,"11.3, April 2022",Open Source,"AGPL for Community Edition, commercial license for Enterprise, AWS, and Pro Editions",no
jBASE,160.0,151.0,133.0,Multivalue,1.43,-0.25,-0.84,https://db-engines.com/en/system/jBASE,,Rocket Software (formerly Zumasys),A robust multi-value DBMS comprising development tools and middleware,1991.0,5.7,commercial,,no
VictoriaMetrics,161.0,162.0,205.0,Time Series,1.42,-0.16,+0.31,https://db-engines.com/en/system/VictoriaMetrics,,VictoriaMetrics,"A fast, cost-effective and scalable,Time Series DBMS,and monitoring solution",2018.0,"v1.91, May 2023",Open Source,Apache Version 2.0,no
Mnesia,162.0,152.0,148.0,Document,1.41,-0.24,-0.60,https://db-engines.com/en/system/Mnesia,,Ericsson,,1999.0,"4.15.4, June 2018",Open Source,proprietary license,no
D3,163.0,167.0,199.0,Multivalue,1.4,-0.04,+0.24,https://db-engines.com/en/system/D3,,"Rocket, formerly TigerLogic",,1999.0,,commercial,,no
ObjectStore,164.0,159.0,151.0,Object oriented,1.35,-0.24,-0.61,https://db-engines.com/en/system/ObjectStore,,Ignite Technologies,,1988.0,"2013 Update 1, April 2014",commercial,,no
TimesTen,165.0,157.0,135.0,Relational,1.35,-0.24,-0.91,https://db-engines.com/en/system/TimesTen,,"Oracle, TimesTen Performance Software, HP","In-Memory,RDBMS,compatible to Oracle",1998.0,11 Release 2 (11.2.2.8.0),commercial,,no
IBM Db2 warehouse,166.0,156.0,149.0,Relational,1.34,-0.27,-0.65,https://db-engines.com/en/system/IBM+Db2+warehouse,,IBM,Cloud-based data warehousing service,2014.0,,commercial,,yes
SQLBase,167.0,171.0,155.0,Relational,1.34,-0.05,-0.47,https://db-engines.com/en/system/SQLBase,,Open Text,,1985.0,,commercial,,no
LiteDB,168.0,153.0,169.0,Document,1.31,-0.33,-0.28,https://db-engines.com/en/system/LiteDB,,Mauricio David,"MongoDB-like, serverless database delivered in a single DLL",2014.0,,Open Source,MIT License,no
Cubrid,169.0,168.0,159.0,Relational,1.31,-0.13,-0.41,https://db-engines.com/en/system/Cubrid,,"CUBRID Corporation, CUBRID Foundation",CUBRID is an open-source SQL-based relational database management system with object extensions for OLTP,2008.0,"11.0, January 2021",Open Source,Apache Version 2.0,no
HFSQL,170.0,172.0,189.0,Relational,1.28,-0.07,-0.02,https://db-engines.com/en/system/HFSQL,,PC Soft,"RDBMS included in the development environments WINDEV, WINDEV Mobile and WEBDEV",,,commercial,,no
Qdrant,171.0,176.0,314.0,Vector,1.23,-0.03,+0.94,https://db-engines.com/en/system/Qdrant,,Qdrant,A high-performance vector database with neural network or semantic-based matching,2021.0,,Open Source,Apache Version 2.0,no
ObjectBox,172.0,169.0,163.0,"Object oriented, Multi-model",1.22,-0.20,-0.45,https://db-engines.com/en/system/ObjectBox,"Object oriented DBMS,Time Series DBMS",ObjectBox Limited,"Extremely fast embedded database for small devices, IoT and Mobile",2017.0,,Open Source,Apache License 2.0,no
Datameer,173.0,179.0,167.0,Document,1.21,-0.02,-0.39,https://db-engines.com/en/system/Datameer,,,,2009.0,,commercial,,no
Meilisearch,174.0,173.0,192.0,Search engine,1.21,-0.12,-0.07,https://db-engines.com/en/system/Meilisearch,,,"A powerful, fast, open-source and highly customizable,Search Engine",2020.0,,Open Source,MIT License,no
Apache Kylin,175.0,175.0,166.0,Relational,1.2,-0.05,-0.44,https://db-engines.com/en/system/Apache+Kylin,,"Apache Software Foundation, originally contributed from eBay Inc","A distributed analytics engine for big data, providing a SQL interface and multi-dimensional analysis (OLAP) and leveraging the Hadoop stack",2015.0,"3.1.0, July 2020",Open Source,Apache Version 2.0,no
Apache IoTDB,176.0,183.0,241.0,Time Series,1.19,+0.01,+0.45,https://db-engines.com/en/system/Apache+IoTDB,,Apache Software Foundation,"An IoT native database with high performance for data management and analysis, deployable on the edge and the cloud and integrated with Hadoop, Spark and Flink",2018.0,"1.1.0, April 2023",Open Source,Apache Version 2.0,no
Giraph,177.0,178.0,183.0,Graph,1.19,-0.05,-0.20,https://db-engines.com/en/system/Giraph,,,,2013.0,"1.3.0, June 2020",Open Source,Apache Version 2,no
GT.M,178.0,177.0,168.0,Key-value,1.18,-0.05,-0.42,https://db-engines.com/en/system/GT.M,,,,1986.0,"7.0-000, February 2021",commercial,,no
AllegroGraph,179.0,199.0,191.0,Multi-model,1.16,+0.13,-0.13,https://db-engines.com/en/system/AllegroGraph,"Document store,Graph DBMS,RDF store,Vector DBMS,Spatial DBMS",Franz Inc.,"High performance, persistent RDF store with additional support for Graph DBMS",2004.0,"8.0, December 2023",commercial,Limited community edition free,no
DataEase,180.0,184.0,170.0,Relational,1.15,-0.03,-0.40,https://db-engines.com/en/system/DataEase,,,,1981.0,,commercial,,no
EventStoreDB,181.0,174.0,181.0,Event,1.14,-0.15,-0.26,https://db-engines.com/en/system/EventStoreDB,,Event Store Limited,"Industrial-strength, open-source database solution built from the ground up for event sourcing.",2012.0,"21.2, February 2021",Open Source,,no
StarRocks,182.0,187.0,237.0,Relational,1.12,-0.03,+0.34,https://db-engines.com/en/system/StarRocks,,The Linux Foundation,"An open source, high-performance columnar analytical database that enables real-time, multi-dimensional, and highly concurrent data analytics",2020.0,"2.5.3, March 2023",Open Source,Apache Version 2.0,no
Amazon Timestream,183.0,198.0,211.0,Time Series,1.12,+0.08,+0.08,https://db-engines.com/en/system/Amazon+Timestream,,,"Fast, scalable, fully managed time series database service for IoT and operational applications",2018.0,,commercial,,yes
NonStop SQL,184.0,189.0,157.0,Relational,1.09,-0.03,-0.68,https://db-engines.com/en/system/NonStop+SQL,,"HP, originally by Tandem",,1987.0,,commercial,,no
Apache HAWQ,185.0,190.0,172.0,Relational,1.08,-0.01,-0.43,https://db-engines.com/en/system/Apache+HAWQ,,Pivotal Software; Apache,HAWQ is a parallel SQL query engine integrated into the Hadoop ecosystem,2012.0,,Open Source,,no
Northgate Reality,186.0,188.0,193.0,Multivalue,1.08,-0.06,-0.20,https://db-engines.com/en/system/Northgate+Reality,,,,1973.0,,commercial,,no
Oracle Rdb,187.0,180.0,165.0,Relational,1.08,-0.15,-0.57,https://db-engines.com/en/system/Oracle+Rdb,,"Oracle, originally developed by Digital Equipment Corporation (DEC)",,1984.0,"7.4.1.1, 2021",commercial,,no
FoundationDB,188.0,166.0,175.0,Multi-model,1.07,-0.43,-0.41,https://db-engines.com/en/system/FoundationDB,"Document store,Key-value store,Relational DBMS",FoundationDB,Ordered key-value store. Core features are complimented by layers.,2013.0,"6.2.28, November 2020",Open Source,Apache 2.0,no
openGauss,189.0,186.0,187.0,"Relational, Multi-model",1.05,-0.12,-0.27,https://db-engines.com/en/system/openGauss,"Relational DBMS,Document store,Spatial DBMS",Huawei and openGauss community,"An enterprise-class,RDBMS,compatible with high-performance, high-availability and high-performance originally developed by Huawei",2019.0,"3.0, March 2022",Open Source,,no
GBase,190.0,193.0,179.0,Relational,1.04,-0.01,-0.39,https://db-engines.com/en/system/GBase,,,An analytical database for business intelligence with large customers in China.,,GBase 8a,commercial,,no
Vitess,191.0,185.0,216.0,"Relational, Multi-model",1.04,-0.13,+0.03,https://db-engines.com/en/system/Vitess,"Relational DBMS,Document store,Spatial DBMS","The Linux Foundation, PlanetScale","Scalable, distributed, cloud-native DBMS, extending,MySQL",2013.0,"15.0.2, December 2022",Open Source,"Apache Version 2.0, commercial licenses available",no
GigaSpaces,192.0,191.0,178.0,Multi-model,1.02,-0.04,-0.45,https://db-engines.com/en/system/GigaSpaces,"Document store,Object oriented DBMS,Graph DBMS,Search engine",Gigaspaces Technologies,"High performance in-memory data grid platform, powering three products: Smart Cache, Smart ODS (Operational Data Store), Smart Augmented Transactions",2000.0,"15.5, September 2020",Open Source,Apache Version 2; Commercial licenses available,no
Infobright,193.0,194.0,188.0,Relational,1.0,-0.05,-0.30,https://db-engines.com/en/system/Infobright,,Ignite Technologies Inc.; formerly InfoBright Inc.,High performant column-oriented DBMS for analytic workloads using MySQL or PostgreSQL as a frontend,2005.0,,commercial,The open source (GPLv2) version did not support inserts/updates/deletes and was discontinued with July 2016,no
Altibase,194.0,182.0,174.0,Relational,1.0,-0.21,-0.51,https://db-engines.com/en/system/Altibase,,Altibase,"An enterprise grade, high-performance,RDBMS",1999.0,"v7.3, 2023, August 2023",commercial,Open source edition discontinued with March 2023,no
NuoDB,195.0,207.0,185.0,Relational,0.99,+0.05,-0.36,https://db-engines.com/en/system/NuoDB,,Dassault Systèmes,NuoDB is a webscale distributed database that supports SQL and ACID transactions,2013.0,,commercial,limited edition free,no
NCache,196.0,181.0,186.0,"Key-value, Multi-model",0.98,-0.23,-0.35,https://db-engines.com/en/system/NCache,"Key-value store,Document store,Search engine",Alachisoft,"Open-Source and Enterprise in-memory,Key-Value Store",2005.0,"5.3.3, April 2024",Open Source,Enterprise Edition available,no
Dolt,197.0,203.0,207.0,"Relational, Multi-model",0.95,-0.03,-0.16,https://db-engines.com/en/system/Dolt,"Relational DBMS,Document store",DoltHub Inc,"A,MySQL,compatible,DBMS,with Git-like versioning of data and schema",2018.0,,Open Source,Apache Version 2.0,no
1010data,198.0,215.0,203.0,Relational,0.93,+0.09,-0.20,https://db-engines.com/en/system/1010data,,,,2000.0,,commercial,,no
MatrixOne,199.0,204.0,173.0,Relational,0.93,-0.04,-0.58,https://db-engines.com/en/system/MatrixOne,,,"A Hyperconverged Cloud & Edge Native DBMS, supporting transactional, analytical, and streaming workloads with a simplified and distributed database engine, across multiple data centers, clouds, edges and other heterogenous infrastructures.",2021.0,,Open Source,Apache Version 2.0,no
Amazon Keyspaces,200.0,211.0,242.0,Wide column,0.92,+0.06,+0.18,https://db-engines.com/en/system/Amazon+Keyspaces,,Amazon,"A scalable, highly available,Cassandra,–compatible database service",2019.0,,commercial,,yes
M3DB,201.0,208.0,217.0,Time Series,0.91,+0.01,-0.08,https://db-engines.com/en/system/M3DB,,,A distributed time series database created for Uber,,,Open Source,Apache version 2,no
Yellowbrick,202.0,206.0,214.0,Relational,0.91,-0.03,-0.11,https://db-engines.com/en/system/Yellowbrick,,Yellowbrick Data,Data Warehouse appliance and cloud service,,,commercial,,no
Typesense,203.0,200.0,275.0,Search engine,0.91,-0.10,+0.38,https://db-engines.com/en/system/Typesense,,,"A typo-tolerant, in-memory search engine optimized for instant search-as-you-type experiences and developer productivity",2015.0,,Open Source,GPL V3,no
