DBMS,Rank_Feb-2024,Rank_Jan-2024,Rank_Feb-2023,Database Model,Score_Feb-2024,Score_Jan-2024,Score_Feb-2023,DBMS_insitelink,Multi_model_info,Developer,Description,Initial release,Current release,License,License_info,Cloud-based only
Google Cloud Spanner,95.0,101.0,92.0,Relational,3.82,+0.33,-0.56,https://db-engines.com/en/system/Google+Cloud+Spanner,,Google,"A horizontally scalable, globally consistent, relational database service. It is the externalization of the core Google database that runs the biggest aspects of Google, like Ads and Google Play.",2017.0,,commercial,,yes
Oracle NoSQL,96.0,97.0,98.0,Multi-model,3.79,+0.08,+0.09,https://db-engines.com/en/system/Oracle+NoSQL,"Document store,Key-value store,Relational DBMS",Oracle,"A multi-model, scalable, distributed NoSQL database, designed to provide highly reliable, flexible, and available data management across a configurable set of storage nodes",2011.0,"23.3, December 2023",Open Source,"Proprietary for Enterprise Edition (Oracle Database EE license has Oracle NoSQL database EE covered:,details,)",no
OpenEdge,97.0,95.0,90.0,Relational,3.73,-0.14,-0.76,https://db-engines.com/en/system/OpenEdge,,Progress Software Corporation,Application development environment with integrated database management system,1984.0,"OpenEdge 12.2, March 2020",commercial,,no
OrientDB,98.0,90.0,85.0,Multi-model,3.65,-0.55,-0.89,https://db-engines.com/en/system/OrientDB,"Document store,Graph DBMS,Key-value store",OrientDB LTD; CallidusCloud; SAP,"Multi-model DBMS (Document, Graph, Key/Value)",2010.0,"3.2.26, January 2024",Open Source,Apache version 2,no
Infinispan,99.0,100.0,97.0,Key-value,3.53,-0.03,-0.23,https://db-engines.com/en/system/Infinispan,,,,2009.0,"14.0.7.Final, March 2023",Open Source,Apache Version 2,no
LevelDB,100.0,104.0,99.0,Key-value,3.51,+0.11,-0.04,https://db-engines.com/en/system/LevelDB,,Google,"Embeddable fast,key-value storage,library that provides an ordered mapping from string keys to string values",2011.0,"1.23, February 2021",Open Source,BSD,no
Apache Druid,101.0,99.0,125.0,Multi-model,3.43,-0.14,+0.94,https://db-engines.com/en/system/Apache+Druid,"Relational DBMS,Time Series DBMS",Apache Software Foundation and contributors,Open-source analytics data store designed for sub-second OLAP queries on high dimensionality and high cardinality data,2012.0,"28.0.1, December 2023",Open Source,Apache license v2,no
GemFire,102.0,94.0,87.0,"Key-value, Multi-model",3.4,-0.59,-1.11,https://db-engines.com/en/system/GemFire,"Key-value store,Document store",VMware,"An enterprise grade, high speed in-memory data and compute grid for high-performance, low latency applications where data must be consistent across multiple data centers",2004.0,"9.15, June 2022",commercial,,no
Pinecone,103.0,108.0,191.0,Vector,3.37,+0.16,+2.08,https://db-engines.com/en/system/Pinecone,,"Pinecone Systems, Inc","A managed, cloud-native vector database",2019.0,,commercial,,yes
YugabyteDB,104.0,102.0,93.0,"Relational, Multi-model",3.37,-0.10,-1.01,https://db-engines.com/en/system/YugabyteDB,"Relational DBMS,Document store,Wide column store",Yugabyte Inc.,"High-performance distributed SQL database for global, internet-scale applications. Wire and feature compatible with,PostgreSQL,.",2017.0,"2.19, September 2023",Open Source,Apache 2.0,no
TDengine,105.0,103.0,130.0,"Time Series, Multi-model",3.25,-0.18,+0.84,https://db-engines.com/en/system/TDengine,"Time Series DBMS,Relational DBMS","TDEngine, previously Taos Data",Time Series DBMS and big data platform,2019.0,"3.0, August 2022",Open Source,"GPL V3, also commercial editions available",no
RethinkDB,106.0,98.0,96.0,"Document, Multi-model",3.23,-0.39,-0.62,https://db-engines.com/en/system/RethinkDB,"Document store,Spatial DBMS",The Linux Foundation,DBMS for the Web with a mechanism to push updated query results to applications in realtime.,2009.0,"2.4.1, August 2020",Open Source,Apache Version 2,no
Memgraph,107.0,109.0,158.0,Graph,3.17,+0.02,+1.49,https://db-engines.com/en/system/Memgraph,,Memgraph Ltd,An open source graph database built for real-time streaming and compatible with Neo4j,2017.0,,commercial,Free license available,no
MaxDB,108.0,107.0,101.0,Relational,3.17,-0.11,-0.33,https://db-engines.com/en/system/MaxDB,,"SAP, acquired from Software AG (Adabas-D) in 1997","A robust and reliable,RDBMS,optimized to run all major SAP solutions",1984.0,"7.9.10 (January 2020), 2020",commercial,Limited community edition free,no
CloudKit,109.0,111.0,106.0,Document,3.15,+0.24,+0.08,https://db-engines.com/en/system/CloudKit,,,,2016.0,,commercial,,yes
IBM Cloudant,110.0,105.0,94.0,Document,3.11,-0.21,-1.24,https://db-engines.com/en/system/IBM+Cloudant,,"IBM, Apache Software Foundation","Database as a Service offering based on,Apache CouchDB",2010.0,,commercial,,yes
Oracle Berkeley DB,111.0,106.0,102.0,Multi-model,3.09,-0.19,-0.14,https://db-engines.com/en/system/Oracle+Berkeley+DB,"Key-value store,Native XML DBMS",Oracle,Widely used in-process key-value store,1994.0,"18.1.40, May 2020",Open Source,commercial license available,no
4D,112.0,110.0,119.0,Relational,2.95,-0.12,+0.21,https://db-engines.com/en/system/4D,,"4D, Inc",Application development environment with integrated database management system,1984.0,"v20, April 2023",commercial,,no
Amazon Neptune,113.0,113.0,121.0,Multi-model,2.93,+0.06,+0.20,https://db-engines.com/en/system/Amazon+Neptune,"Graph DBMS,RDF store",Amazon,"Fast, reliable graph database built for the cloud",2017.0,,commercial,,yes
PouchDB,114.0,112.0,100.0,Document,2.89,+0.00,-0.63,https://db-engines.com/en/system/PouchDB,,Apache Software Foundation,"JavaScript DBMS with an API inspired by,CouchDB",2012.0,"7.1.1, June 2019",Open Source,,no
LMDB,115.0,123.0,113.0,Key-value,2.82,+0.14,-0.05,https://db-engines.com/en/system/LMDB,,Symas,"A high performant, light-weight, embedded key-value database library",2011.0,"0.9.32, January 2024",Open Source,,no
Apache Drill,116.0,122.0,103.0,Multi-model,2.77,+0.06,-0.42,https://db-engines.com/en/system/Apache+Drill,"Document store,Relational DBMS",Apache Software Foundation,"Schema-free SQL Query Engine for Hadoop, NoSQL and Cloud Storage",2012.0,"1.20.3, January 2023",Open Source,Apache Version 2,no
Geode,117.0,114.0,124.0,Key-value,2.76,-0.05,+0.24,https://db-engines.com/en/system/Geode,,Originally developed by Gemstone. They outsourced the project to Apache in 2015 but still deliver a commercial version as Gemfire.,"Geode is a distributed data container, pooling memory, CPU, network resources, and optionally local disk across multiple processes",2002.0,"1.1, February 2017",Open Source,Apache Version 2; commercial licenses available as Gemfire,no
GraphDB,118.0,120.0,127.0,Multi-model,2.75,+0.02,+0.31,https://db-engines.com/en/system/GraphDB,"Graph DBMS,RDF store",Ontotext,"Enterprise-ready RDF and graph database with efficient reasoning, cluster and external index synchronization support. It supports also SQL JDBC access to Knowledge Graph and GraphQL over SPARQL.",2000.0,"10.4, October 2023",commercial,Some plugins of GraphDB Workbench are open sourced,no
RRDtool,119.0,115.0,110.0,Time Series,2.75,-0.05,-0.25,https://db-engines.com/en/system/RRDtool,,Tobias Oetiker,Industry standard data logging and graphing tool for time series data. RRD is an acronym for round-robin database.,1999.0,"1.8.0, 2022",Open Source,GPL V2 and FLOSS,no
EXASOL,120.0,119.0,122.0,Relational,2.73,-0.04,+0.00,https://db-engines.com/en/system/EXASOL,,Exasol,"High-performance, in-memory, MPP database specifically designed for in-memory analytics.",2000.0,,commercial,,no
QuestDB,121.0,121.0,147.0,"Time Series, Multi-model",2.69,-0.03,+0.74,https://db-engines.com/en/system/QuestDB,"Time Series DBMS,Relational DBMS",QuestDB Technology Inc,"A high performance open source SQL database for,time series data",2014.0,,Open Source,Apache 2.0,no
Percona Server for MySQL,122.0,117.0,104.0,Relational,2.65,-0.13,-0.51,https://db-engines.com/en/system/Percona+Server+for+MySQL,,Percona,"Enhanced drop-in replacement for,MySQL,based on XtraDB or TokuDB storage engines with improved performance and additional diagnostic and management features.",2008.0,"8.0.32-24, 2023",Open Source,GPL version 2,no
Coveo,123.0,130.0,132.0,Search engine,2.64,+0.12,+0.27,https://db-engines.com/en/system/Coveo,,Coveo,"AI-powered hosted search, recommendation and personalization platform providing tools for both low-code and full-code development",2012.0,,commercial,,yes
EDB Postgres,124.0,128.0,107.0,"Relational, Multi-model",2.64,+0.10,-0.39,https://db-engines.com/en/system/EDB+Postgres,"Relational DBMS,Document store,Spatial DBMS",EnterpriseDB,"The EDB Postgres Platform is an enterprise-class data management platform based on the open source database,PostgreSQL,with flexible deployment options and,Oracle,compatibility features, complemented by tool kits for management, integration, and migration.",2005.0,"14, December 2021",commercial,BSD for PostgreSQL-components,no
Oracle Coherence,125.0,126.0,115.0,Key-value,2.57,-0.06,-0.25,https://db-engines.com/en/system/Oracle+Coherence,,Oracle,Oracles in-memory data grid solution,2007.0,"14.1, August 2023",commercial,,no
HEAVY.AI,126.0,118.0,123.0,"Relational, Multi-model",2.57,-0.20,-0.11,https://db-engines.com/en/system/HEAVY.AI,"Relational DBMS,Spatial DBMS","HEAVY.AI, Inc.","A high performance, column-oriented,RDBMS,, specifically developed to harness the massive parallelism of modern CPU and GPU hardware",2016.0,"5.10, January 2022",Open Source,Apache Version 2; enterprise edition available,no
NebulaGraph,127.0,116.0,154.0,Graph,2.54,-0.26,+0.75,https://db-engines.com/en/system/NebulaGraph,,Vesoft Inc.,"A distributed, linear scalable, high perfomant,Graph DBMS",2019.0,,Open Source,Apache Version 2.0 + Common Clause 1.0,no
Apache Phoenix,128.0,124.0,112.0,Relational,2.46,-0.21,-0.51,https://db-engines.com/en/system/Apache+Phoenix,,Apache Software Foundation,"A scale-out RDBMS with evolutionary schema built on,Apache HBase",2014.0,"5.0-HBase2, July 2018 and 4.15-HBase1, December 2019",Open Source,Apache Version 2.0,no
Firebolt,129.0,133.0,162.0,Relational,2.39,+0.01,+0.75,https://db-engines.com/en/system/Firebolt,,Firebolt Analytics Inc.,Highly scalable cloud data warehouse and analytics product,2020.0,,commercial,,yes
BaseX,130.0,144.0,144.0,Native XML,2.36,+0.22,+0.37,https://db-engines.com/en/system/BaseX,,BaseX GmbH,"Light-weight,Native XML DBMS,with support for XQuery 3.0 and interactive GUI.",2007.0,"10.7, August 2023",Open Source,BSD license,no
Datomic,131.0,134.0,133.0,Relational,2.33,-0.02,+0.04,https://db-engines.com/en/system/Datomic,,Cognitect,"Datomic builds on immutable values, supports point-in-time queries and uses 3rd party systems for durability",2012.0,"1.0.6735, June 2023",commercial,limited edition free,no
Amazon CloudSearch,132.0,132.0,126.0,Search engine,2.33,-0.10,-0.13,https://db-engines.com/en/system/Amazon+CloudSearch,,Amazon,A hosted search engine service by Amazon with the data stored in Amazons cloud,2012.0,,commercial,,yes
Citus,133.0,129.0,105.0,"Relational, Multi-model",2.31,-0.22,-0.81,https://db-engines.com/en/system/Citus,"Relational DBMS,Document store",,Scalable hybrid operational and analytics RDBMS for big data use cases based on PostgreSQL,2010.0,"8.1, December 2018",Open Source,"AGPL, commercial license also available",no
JanusGraph,134.0,131.0,117.0,Graph,2.3,-0.20,-0.49,https://db-engines.com/en/system/JanusGraph,,"Linux Foundation; originally developed as,Titan,by Aurelius",A Graph DBMS optimized for distributed clusters,2017.0,"0.6.3, February 2023",Open Source,Apache 2.0,no
IMS,135.0,136.0,120.0,Navigational,2.29,-0.04,-0.45,https://db-engines.com/en/system/IMS,,IBM,,1966.0,"15, October 2017",commercial,,no
SpatiaLite,136.0,137.0,135.0,"Spatial, Multi-model",2.24,-0.06,-0.01,https://db-engines.com/en/system/SpatiaLite,"Spatial DBMS,Relational DBMS",Alessandro Furieri,"Spatial extension of,SQLite",2008.0,"5.0.0, August 2020",Open Source,"MPL 1.1, GPL v2.0 or LGPL v2.1",no
Empress,137.0,138.0,160.0,Relational,2.2,-0.09,+0.55,https://db-engines.com/en/system/Empress,,,,1981.0,"v10.20-E, January 2010",commercial,,no
Tibero,138.0,146.0,136.0,Relational,2.2,+0.14,-0.03,https://db-engines.com/en/system/Tibero,,TmaxSoft,"A secure RDBMS, designed for easy portability from Oracle",2003.0,"6, April 2015",commercial,,no
Chroma,139.0,139.0,,Vector,2.13,-0.10,,https://db-engines.com/en/system/Chroma,,Chroma,Chroma is an open-source vector DBMS.,,,Open Source,Apache-2.0 license,no
Stardog,140.0,141.0,163.0,Multi-model,2.13,-0.07,+0.49,https://db-engines.com/en/system/Stardog,"Graph DBMS,RDF store",Stardog-Union,"Enterprise Knowledge Graph platform and graph DBMS with high availability, high performance reasoning, and virtualization",2010.0,"7.3.0, May 2020",commercial,60-day fully-featured trial license; 1-year fully-featured non-commercial use license for academics/students,no
PlanetScale,141.0,148.0,226.0,"Relational, Multi-model",2.09,+0.05,+1.16,https://db-engines.com/en/system/PlanetScale,"Relational DBMS,Document store,Spatial DBMS",PlanetScale,"Scalable, distributed, serverless,MySQL,database platform built on top of,Vitess",2020.0,,commercial,,yes
OpenTSDB,142.0,140.0,128.0,Time Series,2.09,-0.12,-0.35,https://db-engines.com/en/system/OpenTSDB,,currently maintained by Yahoo and other contributors,"Scalable Time Series DBMS based on,HBase",2011.0,,Open Source,LGPL,no
Weaviate,143.0,149.0,295.0,Vector,2.08,+0.04,+1.67,https://db-engines.com/en/system/Weaviate,,Weaviate B.V.,An AI-native realtime vector database engine that integrates scalable machine learning models.,2019.0,"1.19, May 2023",Open Source,commercial license available with Weaviate Enterprise,no
Tarantool,144.0,145.0,151.0,Multi-model,2.02,-0.07,+0.15,https://db-engines.com/en/system/Tarantool,"Document store,Key-value store,Relational DBMS,Spatial DBMS",VK,In-memory computing platform with a flexible data schema for efficiently building high-performance applications,2008.0,"2.10.0, May 2022",Open Source,"BSD-2, source-available extensions (modules), commercial licenses for Tarantool Enterprise",no
Amazon SimpleDB,145.0,135.0,118.0,Key-value,1.99,-0.34,-0.75,https://db-engines.com/en/system/Amazon+SimpleDB,,Amazon,"Hosted simple database service by Amazon, with the data stored in the Amazon Cloud.",2007.0,,commercial,,yes
TigerGraph,146.0,151.0,137.0,Graph,1.97,-0.03,-0.19,https://db-engines.com/en/system/TigerGraph,,,"A complete, distributed, parallel graph computing platform supporting web-scale data analytics in real-time",2017.0,,commercial,,no
jBASE,147.0,150.0,140.0,Multivalue,1.96,-0.06,-0.10,https://db-engines.com/en/system/jBASE,,Rocket Software (formerly Zumasys),A robust multi-value DBMS comprising development tools and middleware,1991.0,5.7,commercial,,no
MonetDB,148.0,142.0,131.0,"Relational, Multi-model",1.95,-0.24,-0.43,https://db-engines.com/en/system/MonetDB,"Relational DBMS,Document store,Spatial DBMS",MonetDB BV,A relational database management system that stores data in columns,2004.0,"Dec2023 (11.49), December 2023",Open Source,Mozilla Public License 2.0,no
GridDB,149.0,143.0,146.0,"Time Series, Multi-model",1.9,-0.27,-0.06,https://db-engines.com/en/system/GridDB,"Time Series DBMS,Key-value store,Relational DBMS",Toshiba Corporation,Scalable in-memory time series database optimized for IoT and Big Data,2013.0,"5.1, August 2022",Open Source,"AGPL version 3 and Apache License, version 2.0 , commercial license (standard and advanced editions) also available",no
LiteDB,150.0,161.0,155.0,Document,1.9,+0.09,+0.14,https://db-engines.com/en/system/LiteDB,,Mauricio David,"MongoDB-like, serverless database delivered in a single DLL",2014.0,,Open Source,MIT License,no
Mnesia,151.0,160.0,152.0,Document,1.87,+0.07,+0.01,https://db-engines.com/en/system/Mnesia,,Ericsson,,1999.0,"4.15.4, June 2018",Open Source,proprietary license,no
TimesTen,152.0,159.0,138.0,Relational,1.85,+0.01,-0.30,https://db-engines.com/en/system/TimesTen,,"Oracle, TimesTen Performance Software, HP","In-Memory,RDBMS,compatible to Oracle",1998.0,11 Release 2 (11.2.2.8.0),commercial,,no
IBM Db2 warehouse,153.0,157.0,141.0,Relational,1.84,-0.05,-0.21,https://db-engines.com/en/system/IBM+Db2+warehouse,,IBM,Cloud-based data warehousing service,2014.0,,commercial,,yes
ObjectStore,154.0,158.0,142.0,Object oriented,1.82,-0.06,-0.22,https://db-engines.com/en/system/ObjectStore,,Ignite Technologies,,1988.0,"2013 Update 1, April 2014",commercial,,no
FoundationDB,155.0,165.0,167.0,Multi-model,1.8,+0.09,+0.20,https://db-engines.com/en/system/FoundationDB,"Document store,Key-value store,Relational DBMS",FoundationDB,Ordered key-value store. Core features are complimented by layers.,2013.0,"6.2.28, November 2020",Open Source,Apache 2.0,no
Fauna,156.0,152.0,149.0,Multi-model,1.8,-0.16,-0.09,https://db-engines.com/en/system/Fauna,"Document store,Graph DBMS,Relational DBMS,Time Series DBMS","Fauna, Inc.","Fauna provides a web-native interface, with support for GraphQL and custom business logic that integrates seamlessly with the rest of the serverless ecosystem. The underlying globally distributed storage and compute platform is fast, consistent, and reliable, with a modern security infrastructure.",2014.0,,commercial,,yes
Amazon DocumentDB,157.0,147.0,148.0,Document,1.79,-0.27,-0.11,https://db-engines.com/en/system/Amazon+DocumentDB,,,"Fast, scalable, highly available, and fully managed,MongoDB,-compatible database service",2019.0,,commercial,,yes
VictoriaMetrics,158.0,169.0,219.0,Time Series,1.73,+0.16,+0.74,https://db-engines.com/en/system/VictoriaMetrics,,VictoriaMetrics,"A fast, cost-effective and scalable,Time Series DBMS,and monitoring solution",2018.0,"v1.91, May 2023",Open Source,Apache Version 2.0,no
Actian NoSQL Database,159.0,163.0,159.0,Object oriented,1.72,-0.06,+0.05,https://db-engines.com/en/system/Actian+NoSQL+Database,,Actian,,1988.0,"9.3, April 2017",commercial,,no
Sedna,160.0,164.0,201.0,Native XML,1.68,-0.08,+0.55,https://db-engines.com/en/system/Sedna,,,,2006.0,,Open Source,Apache Version 2,no
Db4o,161.0,154.0,139.0,Object oriented,1.65,-0.27,-0.42,https://db-engines.com/en/system/Db4o,,,,2001.0,8.0,Open Source,commercial license available for existing customers only,no
Cubrid,162.0,177.0,168.0,Relational,1.62,+0.15,+0.02,https://db-engines.com/en/system/Cubrid,,"CUBRID Corporation, CUBRID Foundation",CUBRID is an open-source SQL-based relational database management system with object extensions for OLTP,2008.0,"11.0, January 2021",Open Source,Apache Version 2.0,no
OceanBase,163.0,171.0,145.0,"Relational, Multi-model",1.61,+0.06,-0.36,https://db-engines.com/en/system/OceanBase,"Relational DBMS,Document store,Wide column store",OceanBase,"A distributed, high available,RDBMS,compatible with,Oracle,and,MySQL",2011.0,"3.2.3, March 2022",Open Source,Commercial license available,no
VoltDB,164.0,153.0,134.0,Relational,1.61,-0.34,-0.68,https://db-engines.com/en/system/VoltDB,,VoltDB Inc.,"Distributed In-Memory NewSQL,RDBMS",2010.0,"11.3, April 2022",Open Source,"AGPL for Community Edition, commercial license for Enterprise, AWS, and Pro Editions",no
Dgraph,165.0,155.0,153.0,Graph,1.6,-0.29,-0.26,https://db-engines.com/en/system/Dgraph,,"Dgraph Labs, Inc.","Distributed and scalable native,Graph DBMS",2016.0,,Open Source,Apache 2.0,no
GridGain,166.0,156.0,129.0,Multi-model,1.54,-0.35,-0.87,https://db-engines.com/en/system/GridGain,"Key-value store,Relational DBMS","GridGain Systems, Inc.","GridGain is an in-memory computing platform, built on,Apache Ignite",2007.0,GridGain 8.5.1,commercial,,no
D3,167.0,167.0,209.0,Multivalue,1.54,-0.06,+0.47,https://db-engines.com/en/system/D3,,"Rocket, formerly TigerLogic",,1999.0,,commercial,,no
mSQL,168.0,166.0,173.0,Relational,1.54,-0.10,+0.03,https://db-engines.com/en/system/mSQL,,Hughes Technologies,"mSQL (Mini SQL) is a simple and lightweight,RDBMS",1994.0,"4.4, October 2021",commercial,free licenses can be provided,no
ObjectBox,169.0,184.0,170.0,"Object oriented, Multi-model",1.52,+0.12,-0.05,https://db-engines.com/en/system/ObjectBox,"Object oriented DBMS,Time Series DBMS",ObjectBox Limited,"Extremely fast embedded database for small devices, IoT and Mobile",2017.0,,Open Source,Apache License 2.0,no
HFSQL,170.0,186.0,180.0,Relational,1.52,+0.13,+0.10,https://db-engines.com/en/system/HFSQL,,PC Soft,"RDBMS included in the development environments WINDEV, WINDEV Mobile and WEBDEV",,,commercial,,no
Milvus,171.0,183.0,240.0,Vector,1.47,+0.03,+0.69,https://db-engines.com/en/system/Milvus,,,A DBMS designed for efficient storage of vector data and vector similarity searches,2019.0,"2.3.4, January 2024",Open Source,Apache Version 2.0,no
SQLBase,172.0,162.0,150.0,Relational,1.46,-0.34,-0.43,https://db-engines.com/en/system/SQLBase,,Open Text,,1985.0,,commercial,,no
Meilisearch,173.0,181.0,204.0,Search engine,1.44,-0.01,+0.35,https://db-engines.com/en/system/Meilisearch,,,"A powerful, fast, open-source and highly customizable,Search Engine",2020.0,,Open Source,MIT License,no
Altibase,174.0,189.0,172.0,Relational,1.44,+0.09,-0.09,https://db-engines.com/en/system/Altibase,,Altibase,"An enterprise grade, high-performance,RDBMS",1999.0,"v7.3, 2023, August 2023",commercial,Open source edition discontinued with March 2023,no
NCache,175.0,191.0,183.0,"Key-value, Multi-model",1.43,+0.10,+0.08,https://db-engines.com/en/system/NCache,"Key-value store,Document store,Search engine",Alachisoft,"Open-Source and Enterprise in-memory,Key-Value Store",2005.0,"5.3, September 2022",Open Source,Enterprise Edition available,no
Oracle Rdb,176.0,168.0,171.0,Relational,1.42,-0.15,-0.11,https://db-engines.com/en/system/Oracle+Rdb,,"Oracle, originally developed by Digital Equipment Corporation (DEC)",,1984.0,"7.4.1.1, 2021",commercial,,no
openGauss,177.0,182.0,188.0,"Relational, Multi-model",1.38,-0.06,+0.08,https://db-engines.com/en/system/openGauss,"Relational DBMS,Document store,Spatial DBMS",Huawei and openGauss community,"An enterprise-class,RDBMS,compatible with high-performance, high-availability and high-performance originally developed by Huawei",2019.0,"3.0, March 2022",Open Source,,no
EventStoreDB,178.0,176.0,193.0,Event,1.36,-0.11,+0.09,https://db-engines.com/en/system/EventStoreDB,,Event Store Limited,"Industrial-strength, open-source database solution built from the ground up for event sourcing.",2012.0,"21.2, February 2021",Open Source,,no
Qdrant,179.0,198.0,362.0,Vector,1.35,+0.11,+1.17,https://db-engines.com/en/system/Qdrant,,Qdrant,A high-performance vector database with neural network or semantic-based matching,2021.0,,Open Source,Apache Version 2.0,no
Apache Kylin,180.0,170.0,164.0,Relational,1.35,-0.21,-0.28,https://db-engines.com/en/system/Apache+Kylin,,"Apache Software Foundation, originally contributed from eBay Inc","A distributed analytics engine for big data, providing a SQL interface and multi-dimensional analysis (OLAP) and leveraging the Hadoop stack",2015.0,"3.1.0, July 2020",Open Source,Apache Version 2.0,no
GT.M,181.0,172.0,178.0,Key-value,1.3,-0.23,-0.12,https://db-engines.com/en/system/GT.M,,,,1986.0,"7.0-000, February 2021",commercial,,no
Giraph,182.0,180.0,169.0,Graph,1.29,-0.16,-0.30,https://db-engines.com/en/system/Giraph,,,,2013.0,"1.3.0, June 2020",Open Source,Apache Version 2,no
Datameer,183.0,178.0,156.0,Document,1.29,-0.17,-0.46,https://db-engines.com/en/system/Datameer,,,,2009.0,,commercial,,no
GigaSpaces,184.0,174.0,177.0,Multi-model,1.27,-0.23,-0.17,https://db-engines.com/en/system/GigaSpaces,"Document store,Object oriented DBMS,Graph DBMS,Search engine",Gigaspaces Technologies,"High performance in-memory data grid platform, powering three products: Smart Cache, Smart ODS (Operational Data Store), Smart Augmented Transactions",2000.0,"15.5, September 2020",Open Source,Apache Version 2; Commercial licenses available,no
Model 204,185.0,188.0,181.0,Multivalue,1.26,-0.11,-0.15,https://db-engines.com/en/system/Model+204,,,,1972.0,,commercial,,no
Vitess,186.0,207.0,217.0,"Relational, Multi-model",1.26,+0.12,+0.25,https://db-engines.com/en/system/Vitess,"Relational DBMS,Document store,Spatial DBMS","The Linux Foundation, PlanetScale","Scalable, distributed, cloud-native DBMS, extending,MySQL",2013.0,"15.0.2, December 2022",Open Source,"Apache Version 2.0, commercial licenses available",no
Infobright,187.0,175.0,174.0,Relational,1.24,-0.24,-0.23,https://db-engines.com/en/system/Infobright,,Ignite Technologies Inc.; formerly InfoBright Inc.,High performant column-oriented DBMS for analytic workloads using MySQL or PostgreSQL as a frontend,2005.0,,commercial,The open source (GPLv2) version did not support inserts/updates/deletes and was discontinued with July 2016,no
DataEase,188.0,173.0,161.0,Relational,1.23,-0.30,-0.41,https://db-engines.com/en/system/DataEase,,,,1981.0,,commercial,,no
Northgate Reality,189.0,195.0,213.0,Multivalue,1.23,-0.06,+0.21,https://db-engines.com/en/system/Northgate+Reality,,,,1973.0,,commercial,,no
Perst,190.0,187.0,189.0,Object oriented,1.23,-0.16,-0.07,https://db-engines.com/en/system/Perst,,,,2003.0,,Open Source,commercial license available,no
StarRocks,191.0,208.0,,Relational,1.23,+0.11,,https://db-engines.com/en/system/StarRocks,,The Linux Foundation,"An open source, high-performance columnar analytical database that enables real-time, multi-dimensional, and highly concurrent data analytics",2020.0,"2.5.3, March 2023",Open Source,Apache Version 2.0,no
Amazon Timestream,192.0,193.0,199.0,Time Series,1.22,-0.09,+0.07,https://db-engines.com/en/system/Amazon+Timestream,,,"Fast, scalable, fully managed time series database service for IoT and operational applications",2018.0,,commercial,,yes
HPE Ezmeral Data Fabric,193.0,197.0,190.0,Multi-model,1.21,-0.04,-0.08,https://db-engines.com/en/system/HPE+Ezmeral+Data+Fabric,"Document store,Wide column store","HPE, MapR Technologies, Inc","A unified data platform to ingest, store, manage, process, apply, and analyze all data types from any data source, and a variety of different ingestion mechanisms at an exabyte scale",2009.0,,commercial,,no
MatrixOne,194.0,185.0,175.0,Relational,1.16,-0.23,-0.28,https://db-engines.com/en/system/MatrixOne,,,"A Hyperconverged Cloud & Edge Native DBMS, supporting transactional, analytical, and streaming workloads with a simplified and distributed database engine, across multiple data centers, clouds, edges and other heterogenous infrastructures.",2021.0,,Open Source,Apache Version 2.0,no
GBase,195.0,179.0,157.0,Relational,1.16,-0.30,-0.52,https://db-engines.com/en/system/GBase,,,An analytical database for business intelligence with large customers in China.,,GBase 8a,commercial,,no
ZODB,196.0,192.0,176.0,Key-value,1.15,-0.18,-0.29,https://db-engines.com/en/system/ZODB,,,Native object database for Python,2009.0,"5.8.1, July 2023",Open Source,,no
Apache HAWQ,197.0,190.0,179.0,Relational,1.15,-0.20,-0.28,https://db-engines.com/en/system/Apache+HAWQ,,Pivotal Software; Apache,HAWQ is a parallel SQL query engine integrated into the Hadoop ecosystem,2012.0,,Open Source,,no
NonStop SQL,198.0,194.0,166.0,Relational,1.15,-0.16,-0.46,https://db-engines.com/en/system/NonStop+SQL,,"HP, originally by Tandem",,1987.0,,commercial,,no
Apache IoTDB,199.0,201.0,221.0,Time Series,1.13,-0.09,+0.14,https://db-engines.com/en/system/Apache+IoTDB,,Apache Software Foundation,"An IoT native database with high performance for data management and analysis, deployable on the edge and the cloud and integrated with Hadoop, Spark and Flink",2018.0,"1.1.0, April 2023",Open Source,Apache Version 2.0,no
SurrealDB,200.0,203.0,278.0,Multi-model,1.12,-0.07,+0.61,https://db-engines.com/en/system/SurrealDB,"Document store,Graph DBMS",SurrealDB Ltd,"A fully ACID transactional, developer-friendly, multi-model,DBMS",2022.0,"v1.1.1, January 2024",Open Source,,no
1010data,201.0,200.0,185.0,Relational,1.1,-0.12,-0.24,https://db-engines.com/en/system/1010data,,,,2000.0,,commercial,,no
AllegroGraph,202.0,196.0,187.0,Multi-model,1.09,-0.19,-0.25,https://db-engines.com/en/system/AllegroGraph,"Document store,Graph DBMS,RDF store,Vector DBMS,Spatial DBMS",Franz Inc.,"High performance, persistent RDF store with additional support for Graph DBMS",2004.0,"8.0, December 2023",commercial,Limited community edition free,no
Rockset,203.0,206.0,223.0,"Document, Multi-model",1.07,-0.09,+0.11,https://db-engines.com/en/system/Rockset,"Document store,Relational DBMS,Search engine",Rockset,"A scalable, reliable search and analytics service in the cloud, built on,RocksDB",2019.0,,commercial,,yes
TypeDB,204.0,205.0,182.0,Multi-model,1.06,-0.11,-0.33,https://db-engines.com/en/system/TypeDB,"Graph DBMS,Relational DBMS",Vaticle,TypeDB is a strongly-typed database with a rich and logical type system and TypeQL as its query language,2016.0,"2.26.3, January 2024",Open Source,"GPL Version 3, commercial licenses available",no
