DBMS,Rank_Mar-2024,Rank_Feb-2024,Rank_Mar-2023,Database Model,Score_Mar-2024,Score_Feb-2024,Score_Mar-2023,DBMS_insitelink,Multi_model_info,Developer,Description,Initial release,Current release,License,License_info,Cloud-based only
RavenDB,95.0,94.0,94.0,"Document, Multi-model",3.47,-0.47,-0.57,https://db-engines.com/en/system/RavenDB,"Document store,Graph DBMS,Spatial DBMS,Time Series DBMS",Hibernating Rhinos,Open Source Operational and Transactional Enterprise NoSQL Document Database,2010.0,"5.4, July 2022",Open Source,"AGPL version 3, commercial license available",no
OrientDB,96.0,98.0,89.0,Multi-model,3.38,-0.27,-0.92,https://db-engines.com/en/system/OrientDB,"Document store,Graph DBMS,Key-value store",OrientDB LTD; CallidusCloud; SAP,"Multi-model DBMS (Document, Graph, Key/Value)",2010.0,"3.2.29, March 2024",Open Source,Apache version 2,no
Google Cloud Spanner,97.0,95.0,92.0,Relational,3.37,-0.45,-0.87,https://db-engines.com/en/system/Google+Cloud+Spanner,,Google,"A horizontally scalable, globally consistent, relational database service. It is the externalization of the core Google database that runs the biggest aspects of Google, like Ads and Google Play.",2017.0,,commercial,,yes
Pinecone,98.0,103.0,174.0,Vector,3.33,-0.03,+1.85,https://db-engines.com/en/system/Pinecone,,"Pinecone Systems, Inc","A managed, cloud-native vector database",2019.0,,commercial,,yes
Apache Druid,99.0,101.0,122.0,Multi-model,3.33,-0.10,+0.70,https://db-engines.com/en/system/Apache+Druid,"Relational DBMS,Time Series DBMS",Apache Software Foundation and contributors,Open-source analytics data store designed for sub-second OLAP queries on high dimensionality and high cardinality data,2012.0,"29.0.0, February 2024",Open Source,Apache license v2,no
LevelDB,100.0,100.0,98.0,Key-value,3.32,-0.19,-0.22,https://db-engines.com/en/system/LevelDB,,Google,"Embeddable fast,key-value storage,library that provides an ordered mapping from string keys to string values",2011.0,"1.23, February 2021",Open Source,BSD,no
Oracle NoSQL,101.0,96.0,97.0,Multi-model,3.26,-0.53,-0.46,https://db-engines.com/en/system/Oracle+NoSQL,"Document store,Key-value store,Relational DBMS",Oracle,"A multi-model, scalable, distributed NoSQL database, designed to provide highly reliable, flexible, and available data management across a configurable set of storage nodes",2011.0,"23.3, December 2023",Open Source,"Proprietary for Enterprise Edition (Oracle Database EE license has Oracle NoSQL database EE covered:,details,)",no
Infinispan,102.0,99.0,99.0,Key-value,3.21,-0.31,-0.30,https://db-engines.com/en/system/Infinispan,,,,2009.0,"14.0.7.Final, March 2023",Open Source,Apache Version 2,no
YugabyteDB,103.0,104.0,96.0,"Relational, Multi-model",3.21,-0.16,-0.61,https://db-engines.com/en/system/YugabyteDB,"Relational DBMS,Document store,Wide column store",Yugabyte Inc.,"High-performance distributed SQL database for global, internet-scale applications. Wire and feature compatible with,PostgreSQL,.",2017.0,"2.19, September 2023",Open Source,Apache 2.0,no
GemFire,104.0,102.0,91.0,"Key-value, Multi-model",3.15,-0.26,-1.11,https://db-engines.com/en/system/GemFire,"Key-value store,Document store",VMware,"An enterprise grade, high speed in-memory data and compute grid for high-performance, low latency applications where data must be consistent across multiple data centers",2004.0,"9.15, June 2022",commercial,,no
Memgraph,105.0,107.0,154.0,Graph,3.09,-0.08,+1.30,https://db-engines.com/en/system/Memgraph,,Memgraph Ltd,An open source graph database built for real-time streaming and compatible with Neo4j,2017.0,,commercial,Free license available,no
GraphDB,106.0,118.0,131.0,Multi-model,2.91,+0.16,+0.58,https://db-engines.com/en/system/GraphDB,"Graph DBMS,RDF store",Ontotext,"Enterprise-ready RDF and graph database with efficient reasoning, cluster and external index synchronization support. It supports also SQL JDBC access to Knowledge Graph and GraphQL over SPARQL.",2000.0,"10.4, October 2023",commercial,Some plugins of GraphDB Workbench are open sourced,no
MaxDB,107.0,108.0,102.0,Relational,2.87,-0.30,-0.50,https://db-engines.com/en/system/MaxDB,,"SAP, acquired from Software AG (Adabas-D) in 1997","A robust and reliable,RDBMS,optimized to run all major SAP solutions",1984.0,"7.9.10 (January 2020), 2020",commercial,Limited community edition free,no
CloudKit,108.0,109.0,111.0,Document,2.86,-0.28,-0.12,https://db-engines.com/en/system/CloudKit,,,,2016.0,,commercial,,yes
Amazon Neptune,109.0,113.0,123.0,Multi-model,2.82,-0.11,+0.22,https://db-engines.com/en/system/Amazon+Neptune,"Graph DBMS,RDF store",Amazon,"Fast, reliable graph database built for the cloud",2017.0,,commercial,,yes
RethinkDB,110.0,106.0,95.0,"Document, Multi-model",2.81,-0.42,-1.04,https://db-engines.com/en/system/RethinkDB,"Document store,Spatial DBMS",The Linux Foundation,DBMS for the Web with a mechanism to push updated query results to applications in realtime.,2009.0,"2.4.1, August 2020",Open Source,Apache Version 2,no
4D,111.0,112.0,114.0,Relational,2.8,-0.15,-0.08,https://db-engines.com/en/system/4D,,"4D, Inc",Application development environment with integrated database management system,1984.0,"v20, April 2023",commercial,,no
Oracle Berkeley DB,112.0,111.0,101.0,Multi-model,2.8,-0.30,-0.58,https://db-engines.com/en/system/Oracle+Berkeley+DB,"Key-value store,Native XML DBMS",Oracle,Widely used in-process key-value store,1994.0,"18.1.40, May 2020",Open Source,commercial license available,no
IBM Cloudant,113.0,110.0,93.0,Document,2.79,-0.32,-1.37,https://db-engines.com/en/system/IBM+Cloudant,,"IBM, Apache Software Foundation","Database as a Service offering based on,Apache CouchDB",2010.0,,commercial,,yes
PouchDB,114.0,114.0,100.0,Document,2.7,-0.19,-0.79,https://db-engines.com/en/system/PouchDB,,Apache Software Foundation,"JavaScript DBMS with an API inspired by,CouchDB",2012.0,"7.1.1, June 2019",Open Source,,no
QuestDB,115.0,121.0,146.0,"Time Series, Multi-model",2.69,0.00,+0.80,https://db-engines.com/en/system/QuestDB,"Time Series DBMS,Relational DBMS",QuestDB Technology Inc,"A high performance open source SQL database for,time series data",2014.0,,Open Source,Apache 2.0,no
TDengine,116.0,105.0,127.0,"Time Series, Multi-model",2.63,-0.61,+0.21,https://db-engines.com/en/system/TDengine,"Time Series DBMS,Relational DBMS","TDEngine, previously Taos Data",Time Series DBMS and big data platform,2019.0,"3.0, August 2022",Open Source,"GPL V3, also commercial editions available",no
LMDB,117.0,115.0,110.0,Key-value,2.62,-0.20,-0.37,https://db-engines.com/en/system/LMDB,,Symas,"A high performant, light-weight, embedded key-value database library",2011.0,"0.9.32, January 2024",Open Source,,no
Apache Drill,118.0,116.0,108.0,Multi-model,2.58,-0.19,-0.43,https://db-engines.com/en/system/Apache+Drill,"Document store,Relational DBMS",Apache Software Foundation,"Schema-free SQL Query Engine for Hadoop, NoSQL and Cloud Storage",2012.0,"1.20.3, January 2023",Open Source,Apache Version 2,no
EXASOL,119.0,120.0,118.0,Relational,2.47,-0.26,-0.30,https://db-engines.com/en/system/EXASOL,,Exasol,"High-performance, in-memory, MPP database specifically designed for in-memory analytics.",2000.0,,commercial,,no
RRDtool,120.0,119.0,107.0,Time Series,2.47,-0.28,-0.55,https://db-engines.com/en/system/RRDtool,,Tobias Oetiker,Industry standard data logging and graphing tool for time series data. RRD is an acronym for round-robin database.,1999.0,"1.8.0, 2022",Open Source,GPL V2 and FLOSS,no
EDB Postgres,121.0,124.0,106.0,"Relational, Multi-model",2.46,-0.18,-0.57,https://db-engines.com/en/system/EDB+Postgres,"Relational DBMS,Document store,Spatial DBMS",EnterpriseDB,"The EDB Postgres Platform is an enterprise-class data management platform based on the open source database,PostgreSQL,with flexible deployment options and,Oracle,compatibility features, complemented by tool kits for management, integration, and migration.",2005.0,"14, December 2021",commercial,BSD for PostgreSQL-components,no
Coveo,122.0,123.0,128.0,Search engine,2.45,-0.19,+0.06,https://db-engines.com/en/system/Coveo,,Coveo,"AI-powered hosted search, recommendation and personalization platform providing tools for both low-code and full-code development",2012.0,,commercial,,yes
Geode,123.0,117.0,126.0,Key-value,2.38,-0.39,-0.13,https://db-engines.com/en/system/Geode,,Originally developed by Gemstone. They outsourced the project to Apache in 2015 but still deliver a commercial version as Gemfire.,"Geode is a distributed data container, pooling memory, CPU, network resources, and optionally local disk across multiple processes",2002.0,"1.1, February 2017",Open Source,Apache Version 2; commercial licenses available as Gemfire,no
NebulaGraph,124.0,127.0,150.0,Graph,2.36,-0.18,+0.53,https://db-engines.com/en/system/NebulaGraph,,Vesoft Inc.,"A distributed, linear scalable, high perfomant,Graph DBMS",2019.0,,Open Source,Apache Version 2.0 + Common Clause 1.0,no
Percona Server for MySQL,125.0,122.0,104.0,Relational,2.35,-0.30,-0.72,https://db-engines.com/en/system/Percona+Server+for+MySQL,,Percona,"Enhanced drop-in replacement for,MySQL,based on XtraDB or TokuDB storage engines with improved performance and additional diagnostic and management features.",2008.0,"8.0.36-28, 2024",Open Source,GPL version 2,no
Oracle Coherence,126.0,125.0,121.0,Key-value,2.32,-0.25,-0.35,https://db-engines.com/en/system/Oracle+Coherence,,Oracle,Oracles in-memory data grid solution,2007.0,"14.1, August 2023",commercial,,no
HEAVY.AI,127.0,126.0,119.0,"Relational, Multi-model",2.3,-0.27,-0.46,https://db-engines.com/en/system/HEAVY.AI,"Relational DBMS,Spatial DBMS","HEAVY.AI, Inc.","A high performance, column-oriented,RDBMS,, specifically developed to harness the massive parallelism of modern CPU and GPU hardware",2016.0,"5.10, January 2022",Open Source,Apache Version 2; enterprise edition available,no
Chroma,128.0,139.0,,Vector,2.28,+0.14,,https://db-engines.com/en/system/Chroma,,Chroma,Chroma is an open-source vector DBMS.,,,Open Source,Apache-2.0 license,no
Citus,129.0,133.0,116.0,"Relational, Multi-model",2.21,-0.10,-0.60,https://db-engines.com/en/system/Citus,"Relational DBMS,Document store",,Scalable hybrid operational and analytics RDBMS for big data use cases based on PostgreSQL,2010.0,"8.1, December 2018",Open Source,"AGPL, commercial license also available",no
Firebolt,130.0,129.0,159.0,Relational,2.16,-0.23,+0.42,https://db-engines.com/en/system/Firebolt,,Firebolt Analytics Inc.,Highly scalable cloud data warehouse and analytics product,2020.0,,commercial,,yes
Apache Phoenix,131.0,128.0,103.0,Relational,2.1,-0.36,-0.99,https://db-engines.com/en/system/Apache+Phoenix,,Apache Software Foundation,"A scale-out RDBMS with evolutionary schema built on,Apache HBase",2014.0,"5.0-HBase2, July 2018 and 4.15-HBase1, December 2019",Open Source,Apache Version 2.0,no
Datomic,132.0,131.0,133.0,Relational,2.08,-0.25,-0.17,https://db-engines.com/en/system/Datomic,,Cognitect,"Datomic builds on immutable values, supports point-in-time queries and uses 3rd party systems for durability",2012.0,"1.0.6735, June 2023",commercial,limited edition free,no
Amazon CloudSearch,133.0,132.0,125.0,Search engine,2.08,-0.25,-0.44,https://db-engines.com/en/system/Amazon+CloudSearch,,Amazon,A hosted search engine service by Amazon with the data stored in Amazons cloud,2012.0,,commercial,,yes
Empress,134.0,137.0,151.0,Relational,2.07,-0.13,+0.26,https://db-engines.com/en/system/Empress,,,,1981.0,"v10.20-E, January 2010",commercial,,no
JanusGraph,135.0,134.0,124.0,Graph,2.04,-0.26,-0.52,https://db-engines.com/en/system/JanusGraph,,"Linux Foundation; originally developed as,Titan,by Aurelius",A Graph DBMS optimized for distributed clusters,2017.0,"0.6.3, February 2023",Open Source,Apache 2.0,no
Stardog,136.0,140.0,158.0,Multi-model,2.03,-0.10,+0.26,https://db-engines.com/en/system/Stardog,"Graph DBMS,RDF store",Stardog-Union,"Enterprise Knowledge Graph platform and graph DBMS with high availability, high performance reasoning, and virtualization",2010.0,"7.3.0, May 2020",commercial,60-day fully-featured trial license; 1-year fully-featured non-commercial use license for academics/students,no
GridDB,137.0,149.0,149.0,"Time Series, Multi-model",2.0,+0.10,+0.17,https://db-engines.com/en/system/GridDB,"Time Series DBMS,Key-value store,Relational DBMS",Toshiba Corporation,Scalable in-memory time series database optimized for IoT and Big Data,2013.0,"5.1, August 2022",Open Source,"AGPL version 3 and Apache License, version 2.0 , commercial license (standard and advanced editions) also available",no
Weaviate,138.0,143.0,273.0,Vector,2.0,-0.08,+1.49,https://db-engines.com/en/system/Weaviate,,Weaviate B.V.,An AI-native realtime vector database engine that integrates scalable machine learning models.,2019.0,"1.19, May 2023",Open Source,commercial license available with Weaviate Enterprise,no
Tibero,139.0,138.0,136.0,Relational,1.98,-0.22,-0.14,https://db-engines.com/en/system/Tibero,,TmaxSoft,"A secure RDBMS, designed for easy portability from Oracle",2003.0,"6, April 2015",commercial,,no
SpatiaLite,140.0,136.0,138.0,"Spatial, Multi-model",1.98,-0.27,-0.12,https://db-engines.com/en/system/SpatiaLite,"Spatial DBMS,Relational DBMS",Alessandro Furieri,"Spatial extension of,SQLite",2008.0,"5.0.0, August 2020",Open Source,"MPL 1.1, GPL v2.0 or LGPL v2.1",no
BaseX,141.0,130.0,137.0,Native XML,1.96,-0.41,-0.15,https://db-engines.com/en/system/BaseX,,BaseX GmbH,"Light-weight,Native XML DBMS,with support for XQuery 3.0 and interactive GUI.",2007.0,"10.7, August 2023",Open Source,BSD license,no
IMS,142.0,135.0,117.0,Navigational,1.94,-0.35,-0.87,https://db-engines.com/en/system/IMS,,IBM,,1966.0,"15, October 2017",commercial,,no
TigerGraph,143.0,146.0,144.0,Graph,1.92,-0.05,-0.04,https://db-engines.com/en/system/TigerGraph,,,"A complete, distributed, parallel graph computing platform supporting web-scale data analytics in real-time",2017.0,,commercial,,no
PlanetScale,144.0,141.0,221.0,"Relational, Multi-model",1.92,-0.17,+0.96,https://db-engines.com/en/system/PlanetScale,"Relational DBMS,Document store,Spatial DBMS",PlanetScale,"Scalable, distributed, serverless,MySQL,database platform built on top of,Vitess",2020.0,,commercial,,yes
Amazon SimpleDB,145.0,145.0,115.0,Key-value,1.9,-0.09,-0.92,https://db-engines.com/en/system/Amazon+SimpleDB,,Amazon,"Hosted simple database service by Amazon, with the data stored in the Amazon Cloud.",2007.0,,commercial,,yes
Tarantool,146.0,144.0,152.0,Multi-model,1.88,-0.14,+0.07,https://db-engines.com/en/system/Tarantool,"Document store,Key-value store,Relational DBMS,Spatial DBMS",VK,In-memory computing platform with a flexible data schema for efficiently building high-performance applications,2008.0,"2.10.0, May 2022",Open Source,"BSD-2, source-available extensions (modules), commercial licenses for Tarantool Enterprise",no
OpenTSDB,147.0,142.0,132.0,Time Series,1.83,-0.26,-0.49,https://db-engines.com/en/system/OpenTSDB,,currently maintained by Yahoo and other contributors,"Scalable Time Series DBMS based on,HBase",2011.0,,Open Source,LGPL,no
Amazon DocumentDB,148.0,157.0,153.0,Document,1.8,+0.01,-0.01,https://db-engines.com/en/system/Amazon+DocumentDB,,,"Fast, scalable, highly available, and fully managed,MongoDB,-compatible database service",2019.0,,commercial,,yes
MonetDB,149.0,148.0,129.0,"Relational, Multi-model",1.78,-0.17,-0.58,https://db-engines.com/en/system/MonetDB,"Relational DBMS,Document store,Spatial DBMS",MonetDB BV,A relational database management system that stores data in columns,2004.0,"Dec2023 (11.49), December 2023",Open Source,Mozilla Public License 2.0,no
Milvus,150.0,171.0,239.0,Vector,1.7,+0.23,+0.90,https://db-engines.com/en/system/Milvus,,,A DBMS designed for efficient storage of vector data and vector similarity searches,2019.0,"2.3.4, January 2024",Open Source,Apache Version 2.0,no
jBASE,151.0,147.0,140.0,Multivalue,1.68,-0.28,-0.39,https://db-engines.com/en/system/jBASE,,Rocket Software (formerly Zumasys),A robust multi-value DBMS comprising development tools and middleware,1991.0,5.7,commercial,,no
Mnesia,152.0,151.0,148.0,Document,1.65,-0.22,-0.19,https://db-engines.com/en/system/Mnesia,,Ericsson,,1999.0,"4.15.4, June 2018",Open Source,proprietary license,no
LiteDB,153.0,150.0,161.0,Document,1.65,-0.25,0.00,https://db-engines.com/en/system/LiteDB,,Mauricio David,"MongoDB-like, serverless database delivered in a single DLL",2014.0,,Open Source,MIT License,no
Actian NoSQL Database,154.0,159.0,155.0,Object oriented,1.65,-0.08,-0.14,https://db-engines.com/en/system/Actian+NoSQL+Database,,Actian,,1988.0,"9.3, April 2017",commercial,,no
Fauna,155.0,156.0,157.0,Multi-model,1.63,-0.17,-0.14,https://db-engines.com/en/system/Fauna,"Document store,Graph DBMS,Relational DBMS,Time Series DBMS","Fauna, Inc.","Fauna provides a web-native interface, with support for GraphQL and custom business logic that integrates seamlessly with the rest of the serverless ecosystem. The underlying globally distributed storage and compute platform is fast, consistent, and reliable, with a modern security infrastructure.",2014.0,,commercial,,yes
IBM Db2 warehouse,156.0,153.0,145.0,Relational,1.61,-0.22,-0.29,https://db-engines.com/en/system/IBM+Db2+warehouse,,IBM,Cloud-based data warehousing service,2014.0,,commercial,,yes
TimesTen,157.0,152.0,135.0,Relational,1.59,-0.25,-0.53,https://db-engines.com/en/system/TimesTen,,"Oracle, TimesTen Performance Software, HP","In-Memory,RDBMS,compatible to Oracle",1998.0,11 Release 2 (11.2.2.8.0),commercial,,no
GridGain,158.0,166.0,130.0,Multi-model,1.59,+0.05,-0.75,https://db-engines.com/en/system/GridGain,"Key-value store,Relational DBMS","GridGain Systems, Inc.","GridGain is an in-memory computing platform, built on,Apache Ignite",2007.0,GridGain 8.5.1,commercial,,no
ObjectStore,159.0,154.0,141.0,Object oriented,1.59,-0.23,-0.47,https://db-engines.com/en/system/ObjectStore,,Ignite Technologies,,1988.0,"2013 Update 1, April 2014",commercial,,no
OceanBase,160.0,163.0,142.0,"Relational, Multi-model",1.59,-0.03,-0.46,https://db-engines.com/en/system/OceanBase,"Relational DBMS,Document store,Wide column store",OceanBase,"A distributed, high available,RDBMS,compatible with,Oracle,and,MySQL",2011.0,"3.2.3, March 2022",Open Source,Commercial license available,no
Sedna,161.0,160.0,194.0,Native XML,1.59,-0.09,+0.39,https://db-engines.com/en/system/Sedna,,,,2006.0,,Open Source,Apache Version 2,no
VictoriaMetrics,162.0,158.0,215.0,Time Series,1.59,-0.14,+0.57,https://db-engines.com/en/system/VictoriaMetrics,,VictoriaMetrics,"A fast, cost-effective and scalable,Time Series DBMS,and monitoring solution",2018.0,"v1.91, May 2023",Open Source,Apache Version 2.0,no
Db4o,163.0,161.0,143.0,Object oriented,1.58,-0.07,-0.45,https://db-engines.com/en/system/Db4o,,,,2001.0,8.0,Open Source,commercial license available for existing customers only,no
Dgraph,164.0,165.0,156.0,Graph,1.53,-0.07,-0.25,https://db-engines.com/en/system/Dgraph,,"Dgraph Labs, Inc.","Distributed and scalable native,Graph DBMS",2016.0,,Open Source,Apache 2.0,no
VoltDB,165.0,164.0,139.0,Relational,1.51,-0.10,-0.57,https://db-engines.com/en/system/VoltDB,,VoltDB Inc.,"Distributed In-Memory NewSQL,RDBMS",2010.0,"11.3, April 2022",Open Source,"AGPL for Community Edition, commercial license for Enterprise, AWS, and Pro Editions",no
FoundationDB,166.0,155.0,175.0,Multi-model,1.5,-0.29,+0.04,https://db-engines.com/en/system/FoundationDB,"Document store,Key-value store,Relational DBMS",FoundationDB,Ordered key-value store. Core features are complimented by layers.,2013.0,"6.2.28, November 2020",Open Source,Apache 2.0,no
D3,167.0,167.0,197.0,Multivalue,1.44,-0.10,+0.26,https://db-engines.com/en/system/D3,,"Rocket, formerly TigerLogic",,1999.0,,commercial,,no
Cubrid,168.0,162.0,167.0,Relational,1.44,-0.18,-0.11,https://db-engines.com/en/system/Cubrid,,"CUBRID Corporation, CUBRID Foundation",CUBRID is an open-source SQL-based relational database management system with object extensions for OLTP,2008.0,"11.0, January 2021",Open Source,Apache Version 2.0,no
ObjectBox,169.0,169.0,169.0,"Object oriented, Multi-model",1.42,-0.10,-0.12,https://db-engines.com/en/system/ObjectBox,"Object oriented DBMS,Time Series DBMS",ObjectBox Limited,"Extremely fast embedded database for small devices, IoT and Mobile",2017.0,,Open Source,Apache License 2.0,no
mSQL,170.0,168.0,173.0,Relational,1.41,-0.13,-0.08,https://db-engines.com/en/system/mSQL,,Hughes Technologies,"mSQL (Mini SQL) is a simple and lightweight,RDBMS",1994.0,"4.4, October 2021",commercial,free licenses can be provided,no
SQLBase,171.0,172.0,147.0,Relational,1.39,-0.07,-0.46,https://db-engines.com/en/system/SQLBase,,Open Text,,1985.0,,commercial,,no
HFSQL,172.0,170.0,182.0,Relational,1.34,-0.17,0.00,https://db-engines.com/en/system/HFSQL,,PC Soft,"RDBMS included in the development environments WINDEV, WINDEV Mobile and WEBDEV",,,commercial,,no
Meilisearch,173.0,173.0,198.0,Search engine,1.33,-0.12,+0.15,https://db-engines.com/en/system/Meilisearch,,,"A powerful, fast, open-source and highly customizable,Search Engine",2020.0,,Open Source,MIT License,no
EventStoreDB,174.0,178.0,185.0,Event,1.29,-0.07,-0.01,https://db-engines.com/en/system/EventStoreDB,,Event Store Limited,"Industrial-strength, open-source database solution built from the ground up for event sourcing.",2012.0,"21.2, February 2021",Open Source,,no
Apache Kylin,175.0,180.0,160.0,Relational,1.26,-0.09,-0.44,https://db-engines.com/en/system/Apache+Kylin,,"Apache Software Foundation, originally contributed from eBay Inc","A distributed analytics engine for big data, providing a SQL interface and multi-dimensional analysis (OLAP) and leveraging the Hadoop stack",2015.0,"3.1.0, July 2020",Open Source,Apache Version 2.0,no
Qdrant,176.0,179.0,320.0,Vector,1.25,-0.10,+0.99,https://db-engines.com/en/system/Qdrant,,Qdrant,A high-performance vector database with neural network or semantic-based matching,2021.0,,Open Source,Apache Version 2.0,no
GT.M,177.0,181.0,165.0,Key-value,1.24,-0.06,-0.36,https://db-engines.com/en/system/GT.M,,,,1986.0,"7.0-000, February 2021",commercial,,no
Giraph,178.0,182.0,168.0,Graph,1.23,-0.06,-0.31,https://db-engines.com/en/system/Giraph,,,,2013.0,"1.3.0, June 2020",Open Source,Apache Version 2,no
Datameer,179.0,183.0,162.0,Document,1.23,-0.06,-0.41,https://db-engines.com/en/system/Datameer,,,,2009.0,,commercial,,no
Oracle Rdb,180.0,176.0,170.0,Relational,1.23,-0.20,-0.30,https://db-engines.com/en/system/Oracle+Rdb,,"Oracle, originally developed by Digital Equipment Corporation (DEC)",,1984.0,"7.4.1.1, 2021",commercial,,no
NCache,181.0,175.0,187.0,"Key-value, Multi-model",1.21,-0.22,-0.04,https://db-engines.com/en/system/NCache,"Key-value store,Document store,Search engine",Alachisoft,"Open-Source and Enterprise in-memory,Key-Value Store",2005.0,"5.3, September 2022",Open Source,Enterprise Edition available,no
Altibase,182.0,174.0,180.0,Relational,1.21,-0.23,-0.16,https://db-engines.com/en/system/Altibase,,Altibase,"An enterprise grade, high-performance,RDBMS",1999.0,"v7.3, 2023, August 2023",commercial,Open source edition discontinued with March 2023,no
Apache IoTDB,183.0,199.0,244.0,Time Series,1.19,+0.06,+0.49,https://db-engines.com/en/system/Apache+IoTDB,,Apache Software Foundation,"An IoT native database with high performance for data management and analysis, deployable on the edge and the cloud and integrated with Hadoop, Spark and Flink",2018.0,"1.1.0, April 2023",Open Source,Apache Version 2.0,no
DataEase,184.0,188.0,163.0,Relational,1.18,-0.06,-0.43,https://db-engines.com/en/system/DataEase,,,,1981.0,,commercial,,no
Vitess,185.0,186.0,222.0,"Relational, Multi-model",1.17,-0.09,+0.21,https://db-engines.com/en/system/Vitess,"Relational DBMS,Document store,Spatial DBMS","The Linux Foundation, PlanetScale","Scalable, distributed, cloud-native DBMS, extending,MySQL",2013.0,"15.0.2, December 2022",Open Source,"Apache Version 2.0, commercial licenses available",no
openGauss,186.0,177.0,196.0,"Relational, Multi-model",1.17,-0.22,-0.03,https://db-engines.com/en/system/openGauss,"Relational DBMS,Document store,Spatial DBMS",Huawei and openGauss community,"An enterprise-class,RDBMS,compatible with high-performance, high-availability and high-performance originally developed by Huawei",2019.0,"3.0, March 2022",Open Source,,no
StarRocks,187.0,191.0,,Relational,1.15,-0.07,,https://db-engines.com/en/system/StarRocks,,The Linux Foundation,"An open source, high-performance columnar analytical database that enables real-time, multi-dimensional, and highly concurrent data analytics",2020.0,"2.5.3, March 2023",Open Source,Apache Version 2.0,no
Northgate Reality,188.0,189.0,195.0,Multivalue,1.14,-0.08,-0.05,https://db-engines.com/en/system/Northgate+Reality,,,,1973.0,,commercial,,no
NonStop SQL,189.0,198.0,166.0,Relational,1.12,-0.03,-0.44,https://db-engines.com/en/system/NonStop+SQL,,"HP, originally by Tandem",,1987.0,,commercial,,no
Apache HAWQ,190.0,197.0,179.0,Relational,1.09,-0.06,-0.30,https://db-engines.com/en/system/Apache+HAWQ,,Pivotal Software; Apache,HAWQ is a parallel SQL query engine integrated into the Hadoop ecosystem,2012.0,,Open Source,,no
GigaSpaces,191.0,184.0,171.0,Multi-model,1.05,-0.21,-0.47,https://db-engines.com/en/system/GigaSpaces,"Document store,Object oriented DBMS,Graph DBMS,Search engine",Gigaspaces Technologies,"High performance in-memory data grid platform, powering three products: Smart Cache, Smart ODS (Operational Data Store), Smart Augmented Transactions",2000.0,"15.5, September 2020",Open Source,Apache Version 2; Commercial licenses available,no
HPE Ezmeral Data Fabric,192.0,193.0,201.0,Multi-model,1.05,-0.16,-0.12,https://db-engines.com/en/system/HPE+Ezmeral+Data+Fabric,"Document store,Wide column store","HPE, MapR Technologies, Inc","A unified data platform to ingest, store, manage, process, apply, and analyze all data types from any data source, and a variety of different ingestion mechanisms at an exabyte scale",2009.0,,commercial,,no
GBase,193.0,195.0,172.0,Relational,1.05,-0.11,-0.47,https://db-engines.com/en/system/GBase,,,An analytical database for business intelligence with large customers in China.,,GBase 8a,commercial,,no
Infobright,194.0,187.0,178.0,Relational,1.05,-0.19,-0.35,https://db-engines.com/en/system/Infobright,,Ignite Technologies Inc.; formerly InfoBright Inc.,High performant column-oriented DBMS for analytic workloads using MySQL or PostgreSQL as a frontend,2005.0,,commercial,The open source (GPLv2) version did not support inserts/updates/deletes and was discontinued with July 2016,no
Perst,195.0,190.0,186.0,Object oriented,1.05,-0.18,-0.22,https://db-engines.com/en/system/Perst,,,,2003.0,,Open Source,commercial license available,no
Model 204,196.0,185.0,184.0,Multivalue,1.05,-0.21,-0.29,https://db-engines.com/en/system/Model+204,,,,1972.0,,commercial,,no
SurrealDB,197.0,200.0,268.0,Multi-model,1.04,-0.08,+0.50,https://db-engines.com/en/system/SurrealDB,"Document store,Graph DBMS",SurrealDB Ltd,"A fully ACID transactional, developer-friendly, multi-model,DBMS",2022.0,"v1.1.1, January 2024",Open Source,,no
Amazon Timestream,198.0,192.0,217.0,Time Series,1.04,-0.18,+0.04,https://db-engines.com/en/system/Amazon+Timestream,,,"Fast, scalable, fully managed time series database service for IoT and operational applications",2018.0,,commercial,,yes
AllegroGraph,199.0,202.0,200.0,Multi-model,1.03,-0.06,-0.14,https://db-engines.com/en/system/AllegroGraph,"Document store,Graph DBMS,RDF store,Vector DBMS,Spatial DBMS",Franz Inc.,"High performance, persistent RDF store with additional support for Graph DBMS",2004.0,"8.0, December 2023",commercial,Limited community edition free,no
Typesense,200.0,206.0,281.0,Search engine,1.01,-0.02,+0.55,https://db-engines.com/en/system/Typesense,,,"A typo-tolerant, in-memory search engine optimized for instant search-as-you-type experiences and developer productivity",2015.0,,Open Source,GPL V3,no
Rockset,201.0,203.0,228.0,"Document, Multi-model",1.01,-0.05,+0.14,https://db-engines.com/en/system/Rockset,"Document store,Relational DBMS,Search engine",Rockset,"A scalable, reliable search and analytics service in the cloud, built on,RocksDB",2019.0,,commercial,,yes
TypeDB,202.0,204.0,190.0,Multi-model,1.01,-0.05,-0.22,https://db-engines.com/en/system/TypeDB,"Graph DBMS,Relational DBMS",Vaticle,TypeDB is a strongly-typed database with a rich and logical type system and TypeQL as its query language,2016.0,"2.26.3, January 2024",Open Source,"GPL Version 3, commercial licenses available",no
Dolt,203.0,205.0,204.0,"Relational, Multi-model",0.98,-0.08,-0.17,https://db-engines.com/en/system/Dolt,"Relational DBMS,Document store",DoltHub Inc,"A,MySQL,compatible,DBMS,with Git-like versioning of data and schema",2018.0,,Open Source,Apache Version 2.0,no
