Rank_Dec-2023,Rank_Nov-2023,Rank_Dec-2022,DBMS,Database Model,Score_Dec-2023,Score_Nov-2023,Score_Dec-2022,DBMS_insitelink,Multi_model_info
209.,187.,,Vitess,"Relational, Multi-model",1.18,-0.09,,https://db-engines.com/en/system/Vitess,"Relational DBMS,Document store,Spatial DBMS"
210.,196.,205.,solidDB,Relational,1.16,+0.01,+0.15,https://db-engines.com/en/system/solidDB,
211.,198.,178.,NCache,"Key-value, Multi-model",1.15,+0.01,-0.05,https://db-engines.com/en/system/NCache,"Key-value store,Document store,Search engine"
212.,195.,,StarRocks,Relational,1.14,-0.01,,https://db-engines.com/en/system/StarRocks,
213.,209.,191.,Actian Vector,Relational,1.09,+0.02,-0.01,https://db-engines.com/en/system/Actian+Vector,
214.,216.,187.,Blazegraph,Multi-model,1.09,+0.10,-0.05,https://db-engines.com/en/system/Blazegraph,"Graph DBMS,RDF store"
215.,218.,213.,TDSQL for MySQL,"Relational, Multi-model",1.08,+0.11,+0.17,https://db-engines.com/en/system/TDSQL+for+MySQL,"Relational DBMS,Document store,Spatial DBMS"
216.,222.,195.,eXist-db,Native XML,1.06,+0.12,-0.01,https://db-engines.com/en/system/eXist-db,
217.,212.,174.,TypeDB,Multi-model,1.06,+0.01,-0.21,https://db-engines.com/en/system/TypeDB,"Graph DBMS,Relational DBMS"
218.,217.,227.,Amazon Keyspaces,Wide column,1.04,+0.06,+0.26,https://db-engines.com/en/system/Amazon+Keyspaces,
219.,224.,207.,Rockset,"Document, Multi-model",1.03,+0.10,+0.04,https://db-engines.com/en/system/Rockset,"Document store,Relational DBMS,Search engine"
220.,225.,226.,Yellowbrick,Relational,1.03,+0.10,+0.25,https://db-engines.com/en/system/Yellowbrick,
221.,231.,198.,CrateDB,Multi-model,1.01,+0.11,-0.05,https://db-engines.com/en/system/CrateDB,"Document store,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS,Relational DBMS"
222.,215.,221.,ObjectDB,Object oriented,0.99,+0.00,+0.19,https://db-engines.com/en/system/ObjectDB,
223.,206.,285.,SurrealDB,Multi-model,0.99,-0.11,+0.61,https://db-engines.com/en/system/SurrealDB,"Document store,Graph DBMS"
224.,227.,229.,Datacom/DB,Relational,0.98,+0.06,+0.23,https://db-engines.com/en/system/Datacom%2FDB,
225.,235.,217.,KairosDB,Time Series,0.96,+0.14,+0.10,https://db-engines.com/en/system/KairosDB,
226.,229.,230.,MapDB,Key-value,0.96,+0.04,+0.22,https://db-engines.com/en/system/MapDB,
227.,232.,216.,eXtremeDB,Multi-model,0.95,+0.07,+0.09,https://db-engines.com/en/system/eXtremeDB,"Relational DBMS,Time Series DBMS"
228.,228.,292.,Typesense,Search engine,0.95,+0.03,+0.62,https://db-engines.com/en/system/Typesense,
229.,246.,210.,FrontBase,Relational,0.95,+0.18,-0.02,https://db-engines.com/en/system/FrontBase,
230.,255.,220.,BoltDB,Key-value,0.92,+0.25,+0.11,https://db-engines.com/en/system/BoltDB,
231.,236.,268.,Kinetica,"Relational, Multi-model",0.92,+0.10,+0.47,https://db-engines.com/en/system/Kinetica,"Relational DBMS,Spatial DBMS,Time Series DBMS"
232.,226.,231.,SQream DB,Relational,0.90,-0.02,+0.17,https://db-engines.com/en/system/SQream+DB,
233.,220.,194.,RDF4J,RDF,0.90,-0.06,-0.18,https://db-engines.com/en/system/RDF4J,
234.,234.,238.,AlaSQL,Multi-model,0.90,+0.07,+0.20,https://db-engines.com/en/system/AlaSQL,"Document store,Relational DBMS"
235.,238.,248.,KeyDB,Key-value,0.90,+0.09,+0.30,https://db-engines.com/en/system/KeyDB,
236.,233.,215.,SciDB,Multivalue,0.89,+0.03,+0.02,https://db-engines.com/en/system/SciDB,
237.,261.,223.,R:BASE,Relational,0.88,+0.28,+0.08,https://db-engines.com/en/system/R%3ABASE,
238.,251.,247.,Scalaris,Key-value,0.87,+0.16,+0.26,https://db-engines.com/en/system/Scalaris,
239.,221.,199.,GeoMesa,Spatial DBMS,0.87,-0.09,-0.18,https://db-engines.com/en/system/GeoMesa,
240.,205.,185.,BigchainDB,Document,0.86,-0.24,-0.28,https://db-engines.com/en/system/BigchainDB,
241.,252.,233.,NexusDB,Relational,0.86,+0.16,+0.13,https://db-engines.com/en/system/NexusDB,
242.,242.,,Vald,Vector,0.84,+0.06,,https://db-engines.com/en/system/Vald,
243.,230.,225.,Objectivity/DB,Object oriented,0.84,-0.08,+0.05,https://db-engines.com/en/system/Objectivity%2FDB,
244.,249.,319.,Heroic,Time Series,0.84,+0.10,+0.62,https://db-engines.com/en/system/Heroic,
245.,244.,224.,ScaleArc,Relational,0.84,+0.06,+0.05,https://db-engines.com/en/system/ScaleArc,
246.,256.,234.,atoti,Object oriented,0.83,+0.17,+0.11,https://db-engines.com/en/system/atoti,
247.,257.,,Vespa,Multi-model,0.81,+0.16,,https://db-engines.com/en/system/Vespa,"Search engine,Vector DBMS"
248.,240.,266.,Alibaba Cloud AnalyticDB for MySQL,"Relational, Multi-model",0.80,0.00,+0.33,https://db-engines.com/en/system/Alibaba+Cloud+AnalyticDB+for+MySQL,"Relational DBMS,Document store"
249.,245.,,RisingWave,Relational,0.80,+0.02,,https://db-engines.com/en/system/RisingWave,
250.,239.,235.,OpenInsight,Multivalue,0.79,-0.01,+0.07,https://db-engines.com/en/system/OpenInsight,
251.,237.,265.,Alibaba Cloud MaxCompute,Relational,0.79,-0.02,+0.30,https://db-engines.com/en/system/Alibaba+Cloud+MaxCompute,
252.,241.,252.,GemStone/S,Object oriented,0.78,-0.01,+0.23,https://db-engines.com/en/system/GemStone%2FS,
253.,254.,204.,Graph Engine,Multi-model,0.78,+0.09,-0.23,https://db-engines.com/en/system/Graph+Engine,"Graph DBMS,Key-value store"
254.,258.,245.,LokiJS,Document,0.77,+0.14,+0.14,https://db-engines.com/en/system/LokiJS,
255.,247.,228.,Postgres-XL,"Relational, Multi-model",0.77,+0.01,+0.01,https://db-engines.com/en/system/Postgres-XL,"Relational DBMS,Document store,Spatial DBMS"
256.,248.,249.,Apache Pinot,Relational,0.75,+0.00,+0.15,https://db-engines.com/en/system/Apache+Pinot,
257.,276.,246.,SearchBlox,Search engine,0.74,+0.23,+0.12,https://db-engines.com/en/system/SearchBlox,
258.,274.,260.,Rasdaman,Multivalue,0.74,+0.22,+0.22,https://db-engines.com/en/system/Rasdaman,
259.,264.,211.,Splice Machine,Relational,0.72,+0.14,-0.21,https://db-engines.com/en/system/Splice+Machine,
260.,280.,242.,Starcounter,Object oriented,0.72,+0.25,+0.05,https://db-engines.com/en/system/Starcounter,
261.,263.,254.,HarperDB,Document,0.68,+0.09,+0.13,https://db-engines.com/en/system/HarperDB,
262.,271.,267.,ITTIA,"Time Series, Multi-model",0.67,+0.14,+0.23,https://db-engines.com/en/system/ITTIA,"Time Series DBMS,Relational DBMS"
263.,243.,243.,Apache Doris,Relational,0.67,-0.11,+0.01,https://db-engines.com/en/system/Apache+Doris,
264.,253.,241.,Percona Server for MongoDB,Document,0.66,-0.02,-0.02,https://db-engines.com/en/system/Percona+Server+for+MongoDB,
265.,250.,237.,VistaDB,Relational,0.66,-0.05,-0.04,https://db-engines.com/en/system/VistaDB,
266.,269.,264.,Sequoiadb,Multi-model,0.65,+0.10,+0.16,https://db-engines.com/en/system/Sequoiadb,"Document store,Relational DBMS"
267.,277.,255.,InfiniteGraph,Graph,0.64,+0.16,+0.10,https://db-engines.com/en/system/InfiniteGraph,
268.,285.,274.,Lovefield,Relational,0.64,+0.19,+0.20,https://db-engines.com/en/system/Lovefield,
269.,275.,251.,Kingbase,"Relational, Multi-model",0.64,+0.12,+0.07,https://db-engines.com/en/system/Kingbase,"Relational DBMS,Document store,Spatial DBMS"
270.,286.,253.,Project Voldemort,Key-value,0.63,+0.19,+0.08,https://db-engines.com/en/system/Project+Voldemort,
271.,270.,,CnosDB,Time Series,0.63,+0.09,,https://db-engines.com/en/system/CnosDB,
272.,278.,239.,4store,RDF,0.63,+0.15,-0.07,https://db-engines.com/en/system/4store,
273.,268.,287.,Jade,Object oriented,0.62,+0.06,+0.25,https://db-engines.com/en/system/Jade,
274.,262.,272.,Redland,RDF,0.58,-0.02,+0.15,https://db-engines.com/en/system/Redland,
275.,290.,276.,OpenQM,Multivalue,0.58,+0.15,+0.15,https://db-engines.com/en/system/OpenQM,
276.,259.,275.,Raima Database Manager,Multi-model,0.57,-0.04,+0.15,https://db-engines.com/en/system/Raima+Database+Manager,"Relational DBMS,Time Series DBMS"
277.,289.,280.,Actian FastObjects,Object oriented,0.55,+0.12,+0.15,https://db-engines.com/en/system/Actian+FastObjects,
278.,265.,291.,Alibaba Cloud AnalyticDB for PostgreSQL,Relational,0.55,-0.02,+0.22,https://db-engines.com/en/system/Alibaba+Cloud+AnalyticDB+for+PostgreSQL,
279.,266.,259.,ModeShape,Content,0.53,-0.04,+0.02,https://db-engines.com/en/system/ModeShape,
280.,267.,256.,Strabon,RDF,0.53,-0.03,+0.00,https://db-engines.com/en/system/Strabon,
281.,298.,313.,HyperGraphDB,Graph,0.52,+0.12,+0.29,https://db-engines.com/en/system/HyperGraphDB,
282.,283.,278.,Kyligence Enterprise,Relational,0.51,+0.06,+0.11,https://db-engines.com/en/system/Kyligence+Enterprise,
283.,260.,,Databend,Relational,0.50,-0.10,,https://db-engines.com/en/system/Databend,
284.,311.,300.,ElevateDB,Relational,0.50,+0.18,+0.21,https://db-engines.com/en/system/ElevateDB,
285.,315.,322.,NEventStore,Event,0.49,+0.19,+0.28,https://db-engines.com/en/system/NEventStore,
286.,305.,310.,Mulgara,RDF,0.49,+0.14,+0.24,https://db-engines.com/en/system/Mulgara,
287.,301.,232.,Tajo,Relational,0.47,+0.10,-0.25,https://db-engines.com/en/system/Tajo,
288.,310.,305.,Transbase,Relational,0.47,+0.14,+0.20,https://db-engines.com/en/system/Transbase,
289.,293.,283.,Fluree,Graph,0.46,+0.05,+0.08,https://db-engines.com/en/system/Fluree,
290.,279.,288.,Alibaba Cloud ApsaraDB for PolarDB,Relational,0.46,-0.02,+0.11,https://db-engines.com/en/system/Alibaba+Cloud+ApsaraDB+for+PolarDB,
291.,297.,299.,RedStore,RDF,0.46,+0.06,+0.16,https://db-engines.com/en/system/RedStore,
292.,273.,261.,Elassandra,"Wide column, Multi-model",0.45,-0.07,-0.06,https://db-engines.com/en/system/Elassandra,"Wide column store,Search engine"
293.,307.,282.,FlockDB,Graph,0.45,+0.11,+0.05,https://db-engines.com/en/system/FlockDB,
294.,300.,295.,EJDB,Document,0.45,+0.07,+0.13,https://db-engines.com/en/system/EJDB,
295.,291.,316.,RDFox,Multi-model,0.45,+0.02,+0.22,https://db-engines.com/en/system/RDFox,"Graph DBMS,RDF store,Relational DBMS"
296.,282.,277.,Alibaba Cloud Log Service,Search engine,0.44,-0.02,+0.04,https://db-engines.com/en/system/Alibaba+Cloud+Log+Service,
297.,340.,286.,TransLattice,Relational,0.44,+0.21,+0.07,https://db-engines.com/en/system/TransLattice,
298.,,,Apache Sedona,Spatial DBMS,0.44,,,https://db-engines.com/en/system/Apache+Sedona,
299.,316.,262.,Comdb2,Relational,0.43,+0.14,-0.07,https://db-engines.com/en/system/Comdb2,
300.,304.,318.,LeanXcale,Multi-model,0.43,+0.08,+0.21,https://db-engines.com/en/system/LeanXcale,"Key-value store,Relational DBMS"
301.,296.,258.,YDB,Multi-model,0.42,+0.02,-0.09,https://db-engines.com/en/system/YDB,"Document store,Relational DBMS"
302.,284.,289.,FeatureBase,Relational,0.42,-0.02,+0.08,https://db-engines.com/en/system/FeatureBase,
303.,317.,,YottaDB,"Key-value, Multi-model",0.42,+0.12,,https://db-engines.com/en/system/YottaDB,"Key-value store,Relational DBMS"
304.,333.,345.,Exorbyte,Search engine,0.41,+0.16,+0.26,https://db-engines.com/en/system/Exorbyte,
305.,302.,,Deep Lake,Vector,0.41,+0.04,,https://db-engines.com/en/system/Deep+Lake,
306.,295.,269.,Mimer SQL,Relational,0.40,-0.01,-0.04,https://db-engines.com/en/system/Mimer+SQL,
307.,287.,270.,Brytlyt,Relational,0.40,-0.03,-0.04,https://db-engines.com/en/system/Brytlyt,
308.,332.,302.,CubicWeb,RDF,0.38,+0.13,+0.10,https://db-engines.com/en/system/CubicWeb,
309.,324.,279.,PipelineDB,Relational,0.38,+0.11,-0.03,https://db-engines.com/en/system/PipelineDB,
310.,281.,296.,Axibase,Time Series,0.38,-0.09,+0.06,https://db-engines.com/en/system/Axibase,
311.,361.,309.,XtremeData,Relational,0.36,+0.21,+0.11,https://db-engines.com/en/system/XtremeData,
312.,314.,338.,Faircom DB,Multi-model,0.36,+0.06,+0.18,https://db-engines.com/en/system/Faircom+DB,"Key-value store,Relational DBMS"
313.,292.,307.,AnzoGraph DB,Multi-model,0.36,-0.06,+0.10,https://db-engines.com/en/system/AnzoGraph+DB,"Graph DBMS,RDF store"
314.,313.,263.,Cloudflare Workers KV,Key-value,0.36,+0.05,-0.15,https://db-engines.com/en/system/Cloudflare+Workers+KV,
315.,288.,311.,Machbase Neo,Time Series,0.35,-0.08,+0.11,https://db-engines.com/en/system/Machbase+Neo,
316.,272.,342.,Elliptics,Key-value,0.35,-0.19,+0.18,https://db-engines.com/en/system/Elliptics,
317.,308.,345.,STSdb,Key-value,0.35,+0.01,+0.19,https://db-engines.com/en/system/STSdb,
318.,331.,312.,Actian PSQL,Relational,0.35,+0.08,+0.11,https://db-engines.com/en/system/Actian+PSQL,
319.,326.,330.,Dydra,RDF,0.34,+0.08,+0.15,https://db-engines.com/en/system/Dydra,
320.,335.,250.,Tokyo Tyrant,Key-value,0.34,+0.09,-0.25,https://db-engines.com/en/system/Tokyo+Tyrant,
321.,319.,301.,Speedb,Key-value,0.34,+0.05,+0.05,https://db-engines.com/en/system/Speedb,
322.,325.,321.,Bangdb,Multi-model,0.33,+0.07,+0.12,https://db-engines.com/en/system/Bangdb,"Document store,Graph DBMS,Time Series DBMS,Spatial DBMS"
323.,343.,308.,Sparksee,Graph,0.33,+0.11,+0.08,https://db-engines.com/en/system/Sparksee,
324.,303.,,AntDB,Relational,0.32,-0.03,,https://db-engines.com/en/system/AntDB,
325.,337.,284.,TerminusDB,"Graph, Multi-model",0.32,+0.07,-0.06,https://db-engines.com/en/system/TerminusDB,"Graph DBMS,Document store,RDF store"
326.,336.,,Skytable,Key-value,0.32,+0.07,,https://db-engines.com/en/system/Skytable,
327.,344.,,MyScale,Multi-model,0.32,+0.10,,https://db-engines.com/en/system/MyScale,"Relational DBMS,Vector DBMS"
328.,312.,290.,Riak TS,Time Series,0.31,0.00,-0.02,https://db-engines.com/en/system/Riak+TS,
329.,366.,345.,Upscaledb,Key-value,0.30,+0.17,+0.15,https://db-engines.com/en/system/Upscaledb,
330.,338.,358.,Badger,Key-value,0.30,+0.06,+0.17,https://db-engines.com/en/system/Badger,
331.,306.,359.,Fujitsu Enterprise Postgres,"Relational, Multi-model",0.30,-0.04,+0.18,https://db-engines.com/en/system/Fujitsu+Enterprise+Postgres,"Relational DBMS,Document store,Spatial DBMS"
332.,299.,,Marqo,Search engine,0.30,-0.09,,https://db-engines.com/en/system/Marqo,
333.,309.,,PieCloudDB,Relational,0.30,-0.04,,https://db-engines.com/en/system/PieCloudDB,
334.,318.,315.,Quasardb,Time Series,0.29,0.00,+0.06,https://db-engines.com/en/system/Quasardb,
335.,323.,271.,Valentina Server,Relational,0.29,+0.02,-0.15,https://db-engines.com/en/system/Valentina+Server,
336.,347.,336.,Manticore Search,"Search engine, Multi-model",0.28,+0.07,+0.09,https://db-engines.com/en/system/Manticore+Search,"Search engine,Time Series DBMS"
337.,322.,257.,HugeGraph,Graph,0.27,+0.00,-0.25,https://db-engines.com/en/system/HugeGraph,
338.,371.,363.,BrightstarDB,RDF,0.27,+0.15,+0.17,https://db-engines.com/en/system/BrightstarDB,
339.,362.,343.,Siaqodb,Object oriented,0.27,+0.12,+0.11,https://db-engines.com/en/system/Siaqodb,
340.,354.,314.,XTDB,Document,0.27,+0.09,+0.04,https://db-engines.com/en/system/XTDB,
341.,345.,324.,BigObject,Relational,0.26,+0.05,+0.06,https://db-engines.com/en/system/BigObject,
342.,334.,294.,GraphBase,Graph,0.26,+0.01,-0.06,https://db-engines.com/en/system/GraphBase,
343.,294.,304.,Immudb,"Key-value, Multi-model",0.26,-0.16,-0.02,https://db-engines.com/en/system/Immudb,"Key-value store,Relational DBMS"
344.,321.,306.,Tibco ComputeDB,Relational,0.25,-0.03,-0.01,https://db-engines.com/en/system/Tibco+ComputeDB,
345.,327.,273.,TinkerGraph,Graph,0.24,-0.02,-0.19,https://db-engines.com/en/system/TinkerGraph,
346.,330.,298.,Alibaba Cloud Table Store,Wide column,0.23,-0.03,-0.08,https://db-engines.com/en/system/Alibaba+Cloud+Table+Store,
347.,320.,335.,EsgynDB,Relational,0.22,-0.07,+0.03,https://db-engines.com/en/system/EsgynDB,
348.,352.,360.,Eloquera,Object oriented,0.22,+0.04,+0.10,https://db-engines.com/en/system/Eloquera,
349.,367.,320.,Kyoto Tycoon,Key-value,0.21,+0.08,0.00,https://db-engines.com/en/system/Kyoto+Tycoon,
350.,341.,297.,ArcadeDB,Multi-model,0.21,-0.02,-0.10,https://db-engines.com/en/system/ArcadeDB,"Document store,Graph DBMS,Key-value store,Time Series DBMS"
351.,328.,317.,IBM Db2 Event Store,Multi-model,0.21,-0.06,-0.02,https://db-engines.com/en/system/IBM+Db2+Event+Store,"Event Store,Time Series DBMS"
352.,356.,345.,SenseiDB,Document,0.19,+0.02,+0.04,https://db-engines.com/en/system/SenseiDB,
353.,363.,,YTsaurus,Multi-model,0.19,+0.05,,https://db-engines.com/en/system/YTsaurus,"Document store,Key-value store"
354.,349.,,Tigris,Multi-model,0.19,-0.01,,https://db-engines.com/en/system/Tigris,"Document store,Key-value store,Search engine,Time Series DBMS"
355.,329.,337.,Ultipa,Graph,0.18,-0.08,0.00,https://db-engines.com/en/system/Ultipa,
356.,375.,303.,Acebase,Document,0.18,+0.07,-0.10,https://db-engines.com/en/system/Acebase,
357.,348.,,Dragonfly,Key-value,0.17,-0.02,,https://db-engines.com/en/system/Dragonfly,
358.,397.,330.,Edge Intelligence,Relational,0.17,+0.13,-0.03,https://db-engines.com/en/system/Edge+Intelligence,
359.,358.,345.,TerarkDB,Key-value,0.17,+0.01,+0.01,https://db-engines.com/en/system/TerarkDB,
360.,339.,,GreptimeDB,Time Series,0.16,-0.07,,https://db-engines.com/en/system/GreptimeDB,
361.,365.,,openGemini,Time Series,0.16,+0.02,,https://db-engines.com/en/system/openGemini,
362.,377.,356.,SiteWhere,Time Series,0.15,+0.05,+0.01,https://db-engines.com/en/system/SiteWhere,
363.,342.,329.,Transwarp KunDB,Relational,0.14,-0.08,-0.05,https://db-engines.com/en/system/Transwarp+KunDB,
364.,346.,357.,Linter,"Relational, Multi-model",0.14,-0.07,+0.01,https://db-engines.com/en/system/Linter,"Relational DBMS,Spatial DBMS"
365.,355.,345.,Blueflood,Time Series,0.14,-0.03,-0.01,https://db-engines.com/en/system/Blueflood,
366.,359.,345.,OrigoDB,Multi-model,0.14,-0.01,-0.01,https://db-engines.com/en/system/OrigoDB,"Document store,Object oriented DBMS"
367.,394.,341.,LedisDB,Key-value,0.13,+0.09,-0.03,https://db-engines.com/en/system/LedisDB,
368.,397.,360.,WhiteDB,Document,0.13,+0.10,+0.02,https://db-engines.com/en/system/WhiteDB,
369.,353.,345.,HyperLevelDB,Key-value,0.13,-0.05,-0.02,https://db-engines.com/en/system/HyperLevelDB,
370.,360.,324.,TomP2P,Key-value,0.13,-0.03,-0.08,https://db-engines.com/en/system/TomP2P,
371.,357.,362.,Alibaba Cloud TSDB,Time Series,0.12,-0.05,+0.01,https://db-engines.com/en/system/Alibaba+Cloud+TSDB,
372.,370.,377.,Indica,Search engine,0.11,-0.01,+0.11,https://db-engines.com/en/system/Indica,
373.,372.,377.,InfinityDB,Key-value,0.11,-0.01,+0.11,https://db-engines.com/en/system/InfinityDB,
374.,404.,345.,JethroData,Relational,0.11,+0.10,-0.04,https://db-engines.com/en/system/JethroData,
375.,386.,340.,Hawkular Metrics,Time Series,0.11,+0.04,-0.06,https://db-engines.com/en/system/Hawkular+Metrics,
376.,405.,345.,RaptorDB,Document,0.11,+0.11,-0.05,https://db-engines.com/en/system/RaptorDB,
377.,364.,364.,Warp 10,Time Series,0.10,-0.04,+0.01,https://db-engines.com/en/system/Warp+10,
378.,373.,330.,NosDB,Document,0.09,-0.01,-0.10,https://db-engines.com/en/system/NosDB,
379.,384.,377.,DataFS,"Object oriented, Multi-model",0.09,+0.01,+0.09,https://db-engines.com/en/system/DataFS,"Object oriented DBMS,Graph DBMS"
380.,350.,324.,H2GIS,"Spatial DBMS, Multi-model",0.08,-0.12,-0.13,https://db-engines.com/en/system/H2GIS,"Spatial DBMS,Relational DBMS"
381.,376.,330.,SiriDB,Time Series,0.08,-0.03,-0.12,https://db-engines.com/en/system/SiriDB,
382.,369.,365.,OushuDB,Relational,0.07,-0.05,-0.01,https://db-engines.com/en/system/OushuDB,
383.,351.,324.,VelocityDB,Multi-model,0.07,-0.12,-0.14,https://db-engines.com/en/system/VelocityDB,"Graph DBMS,Object oriented DBMS"
384.,397.,324.,ActorDB,Relational,0.06,+0.03,-0.14,https://db-engines.com/en/system/ActorDB,
385.,387.,369.,AgensGraph,Multi-model,0.06,0.00,-0.01,https://db-engines.com/en/system/AgensGraph,"Graph DBMS,Relational DBMS"
386.,374.,,Transwarp Hippo,Vector,0.05,-0.05,,https://db-engines.com/en/system/Transwarp+Hippo,
387.,379.,377.,NSDb,Time Series,0.04,-0.05,+0.04,https://db-engines.com/en/system/NSDb,
388.,391.,367.,ScaleOut StateServer,Key-value,0.04,-0.01,-0.04,https://db-engines.com/en/system/ScaleOut+StateServer,
389.,368.,,gStore,Multi-model,0.04,-0.09,,https://db-engines.com/en/system/gStore,"Graph DBMS,RDF store"
390.,378.,377.,Transwarp ArgoDB,"Relational, Multi-model",0.04,-0.06,+0.04,https://db-engines.com/en/system/Transwarp+ArgoDB,"Relational DBMS,Search engine"
391.,381.,374.,WakandaDB,Object oriented,0.03,-0.05,+0.02,https://db-engines.com/en/system/WakandaDB,
392.,389.,377.,Cachelot.io,Key-value,0.03,-0.03,+0.03,https://db-engines.com/en/system/Cachelot.io,
393.,400.,366.,SmallSQL,Relational,0.02,+0.00,-0.06,https://db-engines.com/en/system/SmallSQL,
394.,402.,368.,SparkleDB,RDF,0.02,+0.00,-0.05,https://db-engines.com/en/system/SparkleDB,
395.,403.,370.,Resin Cache,Key-value,0.01,0.00,-0.04,https://db-engines.com/en/system/Resin+Cache,
396.,393.,371.,SWC-DB,"Wide column, Multi-model",0.01,-0.04,-0.04,https://db-engines.com/en/system/SWC-DB,"Wide column store,Time Series DBMS"
397.,388.,372.,Faircom EDGE,Multi-model,0.01,-0.05,-0.02,https://db-engines.com/en/system/Faircom+EDGE,"Key-value store,Relational DBMS"
398.,380.,377.,JaguarDB,Multi-model,0.00,-0.08,+0.00,https://db-engines.com/en/system/JaguarDB,"Key-value store,Vector DBMS"
399.,395.,376.,SwayDB,Key-value,0.00,-0.04,0.00,https://db-engines.com/en/system/SwayDB,
400.,405.,377.,BergDB,Key-value,0.00,±0.00,±0.00,https://db-engines.com/en/system/BergDB,
400.,405.,377.,CortexDB,Multi-model,0.00,±0.00,±0.00,https://db-engines.com/en/system/CortexDB,"Document store,Key-value store"
400.,405.,377.,CovenantSQL,Relational,0.00,±0.00,±0.00,https://db-engines.com/en/system/CovenantSQL,
400.,405.,377.,DaggerDB,Relational,0.00,±0.00,±0.00,https://db-engines.com/en/system/DaggerDB,
400.,405.,377.,EdgelessDB,Relational,0.00,±0.00,±0.00,https://db-engines.com/en/system/EdgelessDB,
400.,383.,375.,Galaxybase,Graph,0.00,-0.07,0.00,https://db-engines.com/en/system/Galaxybase,
400.,405.,377.,Helium,Key-value,0.00,±0.00,±0.00,https://db-engines.com/en/system/Helium,
400.,405.,339.,HGraphDB,Graph,0.00,±0.00,-0.17,https://db-engines.com/en/system/HGraphDB,
400.,390.,330.,iBoxDB,Document,0.00,-0.05,-0.19,https://db-engines.com/en/system/iBoxDB,
400.,405.,377.,JasDB,Document,0.00,±0.00,±0.00,https://db-engines.com/en/system/JasDB,
400.,405.,377.,K-DB,Relational,0.00,±0.00,±0.00,https://db-engines.com/en/system/K-DB,
400.,396.,377.,Newts,Time Series,0.00,-0.03,±0.00,https://db-engines.com/en/system/Newts,
400.,405.,377.,Rizhiyi,"Search engine, Multi-model",0.00,±0.00,±0.00,https://db-engines.com/en/system/Rizhiyi,"Search engine,Time Series DBMS"
400.,385.,373.,Sadas Engine,Relational,0.00,-0.07,-0.03,https://db-engines.com/en/system/Sadas+Engine,
400.,405.,377.,searchxml,Multi-model,0.00,±0.00,±0.00,https://db-engines.com/en/system/searchxml,"Native XML DBMS,Search engine"
400.,401.,377.,SpaceTime,"Spatial DBMS, Multi-model",0.00,-0.02,±0.00,https://db-engines.com/en/system/SpaceTime,"Spatial DBMS,Relational DBMS"
400.,392.,377.,Tkrzw,Key-value,0.00,-0.05,±0.00,https://db-engines.com/en/system/Tkrzw,
400.,382.,377.,Transwarp StellarDB,Graph,0.00,-0.08,±0.00,https://db-engines.com/en/system/Transwarp+StellarDB,
